index,회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
13975,오성첨단소재(주),52420.0,202012.0,200108.0,,0,0,0,4.38,19.52943167828236
13976,오션브릿지(주),241790.0,201612.0,201612.0,,0,0,0,96.99,37.806857306798186
13977,오션브릿지(주),241790.0,201712.0,201612.0,,0,0,0,14.87,60.15061020067927
13978,오션브릿지(주),241790.0,201812.0,201612.0,,0,0,0,62.76,68.08303940071565
13979,오션브릿지(주),241790.0,201912.0,201612.0,,0,0,0,105.28,-19.549019783140103
13980,오션브릿지(주),241790.0,202012.0,201612.0,,0,0,0,855.66,20.93744732845294
13981,오스템임플란트(주),48260.0,201112.0,200702.0,,0,0,0,3.93,29.66374096311744
13982,오스템임플란트(주),48260.0,201212.0,200702.0,,0,0,0,4.4,16.73156245016448
13983,오스템임플란트(주),48260.0,201312.0,200702.0,,0,0,0,4.97,8.432399552711706
13984,오스템임플란트(주),48260.0,201412.0,200702.0,,0,0,0,6.69,9.397710582396634
13985,오스템임플란트(주),48260.0,201512.0,200702.0,,0,0,0,8.6,17.704437638860814
13986,오스템임플란트(주),48260.0,201612.0,200702.0,,0,0,0,8.51,24.08280008016901
13987,오스템임플란트(주),48260.0,201712.0,200702.0,,0,0,0,4.45,15.441558216101791
13988,오스템임플란트(주),48260.0,201812.0,200702.0,,0,0,0,6.23,15.67557153158823
13989,오스템임플란트(주),48260.0,201912.0,200702.0,,0,0,0,8.91,22.79614217171232
13990,오스템임플란트(주),48260.0,202012.0,200702.0,,0,0,0,10.58,11.778512077180531
13991,옴니시스템(주),57540.0,201112.0,200709.0,,0,0,0,-4.11,114.06832542020486
13992,옴니시스템(주),57540.0,201212.0,200709.0,,1,0,1,-5.93,-22.018238478903086
13993,옴니시스템(주),57540.0,201312.0,200709.0,,1,0,1,0.2,2.5763065104289016
13994,옴니시스템(주),57540.0,201412.0,200709.0,,1,0,1,12.88,45.97055736069749
13995,옴니시스템(주),57540.0,201512.0,200709.0,,1,0,1,16.1,5.578889737207096
13996,옴니시스템(주),57540.0,201612.0,200709.0,,1,0,1,5.43,-10.362445996073845
13997,옴니시스템(주),57540.0,201712.0,200709.0,,1,0,1,6.18,73.0757874287572
13998,옴니시스템(주),57540.0,201812.0,200709.0,,1,0,1,2.27,-5.4637130150056095
13999,옴니시스템(주),57540.0,201912.0,200709.0,,1,0,1,-1.56,-17.549908905166024
14000,옴니시스템(주),57540.0,202012.0,200709.0,,1,0,1,-0.86,4.540185783502482
14001,옵티시스(주),109080.0,201112.0,201107.0,,0,0,0,29.54,12.546495636958804
14002,옵티시스(주),109080.0,201212.0,201107.0,,0,0,0,37.81,-4.161252277884578
14003,옵티시스(주),109080.0,201312.0,201107.0,,0,0,0,11.29,-11.520096404521544
14004,옵티시스(주),109080.0,201412.0,201107.0,,0,0,0,15.86,21.437292925689903
14005,옵티시스(주),109080.0,201512.0,201107.0,,0,0,0,12.29,-15.445154644614076
14006,옵티시스(주),109080.0,201612.0,201107.0,,0,0,0,14.84,7.937471596088836
14007,옵티시스(주),109080.0,201712.0,201107.0,,0,0,0,21.0,4.697499010161947
14008,옵티시스(주),109080.0,201812.0,201107.0,,0,0,0,62.92,18.649434963625684
14009,옵티시스(주),109080.0,201912.0,201107.0,,0,0,0,31.59,-7.440534119253687
14010,옵티시스(주),109080.0,202012.0,201107.0,,0,0,0,29.6,3.650110160826783
14011,와이더블유(주),51390.0,201112.0,200111.0,,0,0,0,8.123333333333333,20.65927148821484
14012,와이더블유(주),51390.0,201212.0,200111.0,,0,0,0,40.43,42.98224390706876
14013,와이더블유(주),51390.0,201312.0,200111.0,,0,1,1,6.34,-58.823763274323134
14014,와이더블유(주),51390.0,201412.0,200111.0,,0,1,1,2.62,-35.24376460126145
14015,와이더블유(주),51390.0,201512.0,200111.0,,0,1,1,3.18,-32.42463251670647
14016,와이더블유(주),51390.0,201612.0,200111.0,,0,1,1,7.2,162.43468231647842
14017,와이더블유(주),51390.0,201712.0,200111.0,,0,1,1,7.54,-10.450859425808758
14018,와이더블유(주),51390.0,201812.0,200111.0,,0,1,1,2.29,11.12272627889365
14019,와이더블유(주),51390.0,201912.0,200111.0,,0,1,1,1.57,-34.57217198394002
14020,와이더블유(주),51390.0,202012.0,200111.0,,0,1,1,1.94,-13.36080865949357
14021,와이아이케이(주),232140.0,201712.0,201512.0,,0,0,0,33.84,0.0
14022,와이아이케이(주),232140.0,201812.0,201512.0,,0,0,0,9.71,61.57674819782709
14023,와이아이케이(주),232140.0,201912.0,201512.0,,0,0,0,-2.81,-79.44451711963903
14024,와이아이케이(주),232140.0,202012.0,201512.0,,0,0,0,14.12,243.99575956577064
14025,와이엠씨(주),155650.0,201212.0,201211.0,,0,0,0,24.52,8.60100763583216
14026,와이엠씨(주),155650.0,201312.0,201211.0,,0,0,0,27.7,2.8172017150955844
14027,와이엠씨(주),155650.0,201412.0,201211.0,,0,0,0,7.26,0.451879515476125
14028,와이엠씨(주),155650.0,201512.0,201211.0,,0,0,0,10.45,12.54240710699874
14029,와이엠씨(주),155650.0,201612.0,201211.0,,0,0,0,25.55,131.12095426476668
14030,와이엠씨(주),155650.0,201712.0,201211.0,,0,0,0,56.44,25.41726051656736
14031,와이엠씨(주),155650.0,201812.0,201211.0,,0,0,0,98.35,56.38941049716053
14032,와이엠씨(주),155650.0,201912.0,201211.0,,0,0,0,-23.74,-30.64197621552089
14033,와이엠씨(주),155650.0,202012.0,201211.0,,0,0,0,103.96,-12.728787250040297
14034,와이엠티(주),251370.0,201712.0,201704.0,,0,0,0,19.01,38.5516985221396
14035,와이엠티(주),251370.0,201812.0,201704.0,,0,0,0,15.0,5.121622971174025
14036,와이엠티(주),251370.0,201912.0,201704.0,,0,0,0,21.87,31.278034225452096
14037,와이엠티(주),251370.0,202012.0,201704.0,,0,0,0,12.64,18.91439014880252
14038,와토스코리아(주),79000.0,201112.0,200511.0,,0,0,0,11.8,-4.669457899309728
14039,와토스코리아(주),79000.0,201212.0,200511.0,,0,0,0,11.8,2.575518348776415
14040,와토스코리아(주),79000.0,201312.0,200511.0,,0,0,0,11.8,4.450039579167753
14041,와토스코리아(주),79000.0,201412.0,200511.0,,0,0,0,11.8,3.45978654740335
14042,와토스코리아(주),79000.0,201512.0,200511.0,,0,0,0,11.8,0.6838952577799744
14043,와토스코리아(주),79000.0,201612.0,200511.0,,0,0,0,11.8,-10.097703283674075
14044,와토스코리아(주),79000.0,201712.0,200511.0,,0,0,0,11.8,20.964393604131352
14045,와토스코리아(주),79000.0,201812.0,200511.0,,0,0,0,11.8,-0.575041082699163
14046,와토스코리아(주),79000.0,201912.0,200511.0,,0,0,0,15.75,-13.978814403666332
14047,와토스코리아(주),79000.0,202012.0,200511.0,,0,0,0,7.85,-0.0568909931891279
14048,우경(주),25920.0,201112.0,199508.0,2013/07/10,0,0,0,-0.26,-16.110072829467615
