회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
(주)경방,50.0,201812.0,195603.0,,0,0,0,5.13,-2.5914954388128786
(주)경방,50.0,201912.0,195603.0,,0,0,0,3.59,-2.1474118094704173
(주)경방,50.0,202012.0,195603.0,,0,0,0,3.24,-4.265100780089195
(주)경보제약,214390.0,201512.0,201506.0,,0,0,0,29.2,4.860010274633042
(주)경보제약,214390.0,201612.0,201506.0,,0,0,0,16.24,4.88311491120347
(주)경보제약,214390.0,201712.0,201506.0,,0,0,0,24.47,2.6430167769199144
(주)경보제약,214390.0,201812.0,201506.0,,0,0,0,19.43,5.051733585088459
(주)경보제약,214390.0,201912.0,201506.0,,0,0,0,4.77,-4.786547569161326
(주)경보제약,214390.0,202012.0,201506.0,,0,0,0,6.63,12.29950171300938
(주)경인양행,12610.0,201112.0,199510.0,,0,0,0,1.77,-17.08158922318647
(주)경인양행,12610.0,201212.0,199510.0,,0,0,0,1.26,-6.216517280038839
(주)경인양행,12610.0,201312.0,199510.0,,0,0,0,5.73,19.305968118565453
(주)경인양행,12610.0,201412.0,199510.0,,0,0,0,7.16,6.277671654747316
(주)경인양행,12610.0,201512.0,199510.0,,0,0,0,4.19,-5.057133496063287
(주)경인양행,12610.0,201612.0,199510.0,,0,0,0,6.44,4.449755427303899
(주)경인양행,12610.0,201712.0,199510.0,,0,0,0,3.12,9.136523905439857
(주)경인양행,12610.0,201812.0,199510.0,,0,0,0,5.68,10.371851576635656
(주)경인양행,12610.0,201912.0,199510.0,,0,0,0,4.66,8.366114997712895
(주)경인양행,12610.0,202012.0,199510.0,,0,0,0,0.71,-8.219094730323226
(주)고려시멘트,198440.0,201712.0,201408.0,,0,0,0,16.79,0.0
(주)고려시멘트,198440.0,201812.0,201408.0,,0,0,0,9.2,-2.149836945528212
(주)고려시멘트,198440.0,201912.0,201408.0,,0,0,0,-1.08,-17.31718658903056
(주)고려시멘트,198440.0,202012.0,201408.0,,0,0,0,41.09,-1.0420917094566478
(주)고영테크놀러지,98460.0,201112.0,200806.0,,0,0,0,22785.6,20.9571866002156
(주)고영테크놀러지,98460.0,201212.0,200806.0,,0,0,0,1627.45,25.206840618357123
(주)고영테크놀러지,98460.0,201312.0,200806.0,,0,0,0,443.96,3.76576433824752
