회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률,시장구분
코스맥스엔비티(주),222040,201612,201512,,0,0,0,제조업,1,2.7100440303971727,0.8337489492017068,1.2920634920634917,0.2957381343848709,-0.1399239543726235,0.3005524861878452,-0.3761904761904763,-0.163934426229508,KOSDAQ
(주)유니테크노,241690,202012,201609,,0,0,0,제조업,1,-0.5477337067561788,-0.0223808133016991,0.073015873015873,0.1110118093314868,0.0007604562737643,0.3988950276243094,-0.4238095238095239,-0.3770491803278686,KOSDAQ
(주)백산,035150,201612,199908,,0,0,0,제조업,1,0.7149461428570606,0.6110050983892635,1.7444444444444442,-0.1746839588208406,0.2076045627376425,-0.0298342541436463,0.3238095238095237,0.1639344262295083,KOSPI
현대일렉트릭앤에너지시스템(주),267260,202012,201705,,0,0,0,제조업,1,-0.0201571370489466,3.6331469136188073,-0.2015873015873016,-0.5199039425838626,-0.2623574144486691,0.0475138121546961,-0.5904761904761907,-0.7377049180327866,KOSPI
모바일어플라이언스(주),087260,202012,201702,,0,0,0,정보통신업,0,-0.494996132693013,1.4738726169371703,-0.0476190476190477,-0.609411989439142,-0.0269961977186311,0.5613259668508288,-0.4380952380952382,-0.6721311475409835,KOSDAQ
에스퓨얼셀(주),288620,202012,201810,,0,0,0,제조업,1,1.0783734198909418,-0.0566103735837525,-0.4174603174603175,0.5625089542158154,-0.2399239543726235,0.2906077348066298,-0.6952380952380953,-1.2295081967213113,KOSDAQ
엔피씨(주),004250,201312,196909,,0,0,0,제조업,1,0.6572208867716194,0.0437008844960359,0.3428571428571427,-0.259893982084746,0.0338403041825095,0.0386740331491713,0.0285714285714286,0.9016393442622952,KOSPI
(주)에스에스컴텍,036500,201312,199912,42866.0,0,0,0,제조업,1,1.6136560125674984,-0.3534501050741688,-0.0126984126984127,-0.2914946888708477,-0.700380228136882,-0.9779005524861876,-0.2571428571428572,-0.344262295081967,KOSDAQ
(주)아즈텍더블유비이,032080,201512,200010,,0,0,0,제조업,1,0.357719459114453,1.7970943897245926,-0.0492063492063492,-0.143478943095532,1.3577946768060836,0.3988950276243094,0.9523809523809524,-0.721311475409836,KOSDAQ
성문전자(주),014910,201312,199003,,1,0,1,제조업,1,-0.1005800213062631,-1.1250695928275372,-1.9111111111111108,-0.4858267555379692,0.0695817490494296,-0.0795580110497237,0.642857142857143,0.4098360655737705,KOSPI
(주)휴온스,243070,202012,201606,,0,0,0,제조업,1,0.4460199582100189,0.1085708383681095,1.6857142857142855,2.601307144952551,0.3988593155893536,0.4530386740331492,0.2714285714285714,0.0819672131147541,KOSDAQ
(주)케이지이니시스,035600,201312,200211,,0,0,0,정보통신업,0,3.922669333258433,1.507682016615702,0.3777777777777777,0.0714222364731646,-0.1452471482889733,0.1790055248618784,-0.5000000000000001,-0.7704918032786883,KOSDAQ
(주)제이티,089790,201512,200610,,0,1,1,제조업,1,-1.2401002904260263,-1.8244971575156244,-1.8507936507936509,-0.3183607474467692,-1.1977186311787071,-1.971270718232044,-0.4047619047619049,-0.5409836065573768,KOSDAQ
(주)화인베스틸,133820,201612,201407,,0,1,1,제조업,1,-1.342000563800522,-0.3479336861565825,-0.4174603174603175,-0.3303338131655967,0.1771863117870723,0.9215469613259668,-0.5095238095238096,-0.5573770491803276,KOSPI
