회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률,시장구분
유성기업(주),002920,201312,198810,,0,0,0,제조업,1,7.507529156,13.7806767,-4.828773784,1.42,-23.78387808,4.72,-0.11,911.9588785,261.62,204.46,41.68,35.5,12.99,32.74,40.72,108.8258939,1.424020011,2.66,KOSPI
메디앙스(주),014100,201112,199501,,0,0,0,제조업,1,2.056253444,-3.953840649,-0.464507844,-4.8,-247.7808482,-2.71,0.36,-106.091,133.16,61.17,140.38,7.09,1.89,15.7,7.16,54.68705882,1.383353439,3.89,KOSDAQ
(주)한솔홈데코,025750,201112,200311,,0,0,0,제조업,1,21.30487258,10.97771813,21.88276609,5.7,126.1733684,4.05,3.0,175.6354694,107.27,70.02,161.3,5.85,5.49,11.59,17.61,159.5932335,1.083767163,1.2,KOSPI
엔시트론(주),101400,201312,200903,,1,0,1,제조업,1,-13.74860438,-31.51271657,-18.83818978,-10.61,-432.3986363,-10.89,0.75,-1338.905421,85.77,57.72,166.67,0.52,0.31,2.6,2.43,16.47118644,1.968382122,1.93,KOSDAQ
(주)푸른기술,094940,201512,200709,,0,0,0,제조업,1,3.197552052,-4.78065213,-4.271545455,-16.55,24.14214547,-5.29,-0.21,-264.4213108,361.94,248.18,38.91,-19.54,-13.66,11.62,24.04,28.71867769,0.640932602,1.96,KOSDAQ
(주)우양,103840,201912,201911,,0,0,0,제조업,1,10.32102022,84.97462054,9.747183585,0.0,-9.864399558,6.18,1.96,239.7669379,76.32,33.02,205.97,14.55,8.51,22.65,19.67,85.28209559,2.255479736,1.64,KOSDAQ
(주)더블유게임즈,192080,202012,201903,,0,0,0,정보통신업,0,-4.796056746,43.37970671,28.08782744,6.85,25.59765131,18.51,1.39,6791.7106,395.7,395.7,10.27,121.58,27.82,26.7,41.5,626.1993585,0.8357566,2.52,KOSPI
에코바이오홀딩스(주),038870,201112,200105,,0,0,0,임대업,1,-4.340814783,1.367358864,3.886628515,-14.29,-81.36565084,2.58,5.3,24.06408045,118.87,118.87,388.92,10.2,26.71,9.18,29.92,-13.27319444,1.247405312,0.58,KOSDAQ
인포뱅크(주),039290,202012,200607,,0,0,0,정보통신업,0,3.200694165,2.204673424,0.106601801,-1.27,-25.08439406,0.8,-0.16,184.7232648,209.96,209.96,32.59,23.8,3.68,21.68,13.65,89.12864516,2.146843536,6.66,KOSDAQ
(주)대림제지,017650,201112,199411,,0,0,0,제조업,1,34.05297794,46.11367406,11.69735776,0.0,10.80800086,3.57,0.92,359.6675556,158.5,123.76,53.23,-0.61,-0.28,10.42,13.95,148.0066216,1.144703963,2.14,KOSDAQ
(주)지니뮤직,043610,201512,200007,,0,0,0,정보통신업,0,8.55228982,6.095718107,3.288783768,-3.68,-74.23003186,2.23,-0.9,80.90301121,241.37,241.15,51.49,30.54,10.54,13.98,14.19,69.13994536,1.897055023,3.08,KOSDAQ
(주)TCC스틸,002710,201112,198412,,0,0,0,제조업,1,42.93297362,41.81268227,16.27230507,-2.78,-27.43072417,2.63,1.36,284.86675,110.8,62.71,101.53,-6.46,-2.87,11.18,9.88,150.4366667,2.281846843,2.46,KOSPI
(주)케이씨씨,002380,201412,197306,,0,0,0,제조업,1,22.72924744,22.30504725,5.158788202,1.08,17.97202639,3.48,0.18,16360.35769,284.47,227.54,38.93,12.28,8.76,12.17,30.97,188.1605252,0.643061691,1.55,KOSPI
(주)디지캡,197140,201812,201809,,0,0,0,정보통신업,0,25.67241464,55.31245583,10.49713239,8.42,-38.11126355,4.62,1.1,163.9286395,422.46,422.46,48.27,26.37,17.6,22.27,45.64,79.86320388,0.723584373,1.42,KOSDAQ
(주)내츄럴엔도텍,168330,201512,201310,,0,1,1,"전문, 과학 및 기술 서비스업",0,-21.73769006,-29.56805633,-38.67458151,-21.52,-142.0707833,-10.89,-0.34,-803.2543127,111.8,78.91,37.59,-19.54,-13.66,-3.59,-5.86,-75.62221774,0.728948265,2.35,KOSDAQ
(주)동방,004140,202012,198808,,0,0,0,운수 및 창고업,0,-16.16672606,0.976012119,-6.475552862,-3.5,17.40460191,4.26,2.48,337.9075377,51.15,48.85,351.16,6.29,4.36,30.23,26.9,174.8175314,5.094882069,1.28,KOSPI
(주)씨엘인터내셔널,037340,201112,199912,42621.0,0,1,1,제조업,1,-2.409084945,35.21669089,-38.67458151,-30.12,-23.1027379,-8.93,5.3,-313.4464652,80.2,64.76,90.69,-19.54,-13.66,0.36,0.88,5.986,0.784257138,0.74,KOSDAQ
(주)경동도시가스,267290,201912,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-3.632435028,5.966477764,-11.4422898,0.36,-34.23110873,3.67,-0.17,4179.245331,123.03,122.62,120.84,18.85,5.44,12.78,6.74,311.4332734,4.310568921,3.28,KOSPI
(주)에스제이엠홀딩스,025530,201512,199702,,0,0,0,도매 및 소매업,1,8.647477703,5.651167502,14.33103107,-30.12,13.57930275,9.42,-0.96,1659.47005,627.98,463.14,20.38,44.14,10.51,28.98,40.75,685.3952381,0.879735311,4.69,KOSPI
(주)그린플러스,186230,201912,201908,,0,0,0,제조업,1,13.50455404,55.82612377,5.33767654,4.4,-0.574981397,7.46,3.39,525.1147885,220.53,186.04,93.42,-7.62,-5.45,19.81,29.33,116.3497895,1.305967369,1.31,KOSDAQ
이화산업(주),000760,201712,199404,,1,0,1,도매 및 소매업,1,0.910111818,-1.603872299,-1.863502626,0.0,-49.75274472,0.28,3.48,-1059.253571,90.89,67.72,51.97,-0.84,-1.23,2.39,10.21,75.65111111,3.587510293,0.71,KOSPI
인탑스(주),049070,201812,200202,,0,0,0,제조업,1,5.455286291,8.250586453,4.084105432,21.49,18.81960405,5.51,-0.59,2188.094128,212.52,197.29,37.35,28.38,6.87,22.55,20.07,40.68983287,1.614543517,4.1,KOSDAQ
이화공영(주),001840,201212,199411,,0,0,0,건설업,1,32.14661601,3.228849116,46.1826871,19.44,5.241152941,1.24,-0.72,72.38280379,165.83,161.93,86.03,3.58,0.98,17.49,10.39,83.79,2.212720597,4.82,KOSDAQ
(주)비츠로셀,082920,202012,200910,,0,0,0,제조업,1,14.83694049,10.18031973,-15.18177115,-5.07,-28.32714232,10.31,0.08,655.9803747,883.67,648.74,20.81,78.37,22.46,21.92,36.46,114.2618258,0.761411222,4.12,KOSDAQ
(주)팜스빌,318010,201912,201910,,0,0,0,제조업,1,78.27578096,102.2875763,51.02324638,0.0,26.87964982,14.03,-1.03,912.5600397,705.89,666.51,22.17,43.63,17.93,15.54,35.18,377.9346429,1.187899712,3.2,KOSDAQ
(주)엘지생명과학,068870,201512,200208,42752.0,0,0,0,제조업,1,8.243659718,3.272694731,5.85722718,-0.65,55.60997163,3.71,2.1,676.3462007,157.96,83.7,174.43,8.02,8.0,25.76,40.43,129.103899,1.776941683,1.06,KOSPI
한양디지텍(주),078350,201612,200405,,0,0,0,제조업,1,-13.50124112,-4.965042836,-30.61815795,-2.33,-92.71223002,0.7,0.21,-69.2244,117.78,77.72,51.26,8.9,2.26,16.95,12.68,81.32761905,2.910304658,3.35,KOSDAQ
(주)영풍,000670,201112,197606,,0,0,0,제조업,1,7.70751549,26.29339288,-32.67118084,5.44,-35.96617082,3.2,-0.12,16360.35769,146.46,84.1,36.72,12.72,6.41,15.42,28.95,258.1492734,1.01625939,2.16,KOSPI
(주)케이이씨,092220,201112,200610,,1,0,1,제조업,1,16.86551682,14.88899,-11.92181136,-18.29,-432.3986363,-5.42,4.27,-283.2757952,77.25,44.95,187.71,0.31,0.32,14.34,22.76,43.13588616,1.469253595,0.98,KOSPI
코스맥스(주),192820,201912,201404,,0,0,0,제조업,1,13.45336789,30.85691956,5.631115827,5.91,3.166272733,4.77,1.65,1822.942693,86.31,57.14,280.56,1.12,0.75,25.29,22.89,212.3578082,5.357840342,1.56,KOSPI
대정화금(주),120240,201612,201012,,0,0,0,제조업,1,11.97461804,7.740700401,5.275027687,-3.85,3.550530081,7.93,-2.15,1243.860237,454.58,371.11,30.29,36.64,15.68,15.6,28.73,116.7222,0.766547563,2.63,KOSDAQ
롯데정밀화학(주),004000,201412,197604,,1,0,1,제조업,1,-2.850193722,6.151801972,-7.880946024,-18.05,-19.71999977,-1.3,0.53,2274.516163,323.81,237.47,54.37,7.26,3.9,15.43,23.53,275.900356,1.152755707,1.7,KOSPI
(주)이상네트웍스,080010,201112,200509,,0,0,0,도매 및 소매업,1,1.017952429,4.374971582,40.99790579,-11.36,-27.47768491,6.37,-1.2,320.5473333,454.38,349.22,12.17,-0.71,-0.1,12.29,15.44,98.62923077,0.94733671,6.49,KOSDAQ
(주)빅텍,065450,201912,200302,,0,0,0,제조업,1,41.20144232,12.17753271,0.43522898,0.54,74.40069483,3.26,0.49,75.08069586,125.0,106.49,133.52,19.55,21.37,19.86,37.96,99.42433155,1.291880151,1.16,KOSDAQ
디케이락(주),105740,201212,201011,,0,0,0,제조업,1,22.82911631,42.9465942,-6.951948772,7.69,-5.305593664,13.42,-0.02,959.7634998,335.39,204.63,29.22,25.93,10.28,22.87,40.09,95.99423469,1.132337362,2.29,KOSDAQ
에스지씨이테크건설(주),016250,201212,199912,,0,0,0,건설업,1,25.1348715,10.48595409,12.37123574,11.99,-35.24319926,3.43,0.23,7078.356071,97.36,96.68,162.45,5.08,1.91,18.79,11.41,88.79127371,4.250312928,3.07,KOSDAQ
(주)비엘팜텍,065170,201912,200211,,0,0,0,도매 및 소매업,1,-14.21741774,-28.92922459,-32.86354244,-12.12,-233.6607269,-2.89,0.93,-281.9340282,241.79,202.79,75.09,4.18,2.72,-3.59,-5.86,-75.62221774,0.96105664,1.67,KOSDAQ
(주)대창솔루션,096350,201312,200712,,1,0,1,제조업,1,-1.770577738,-0.533373794,38.15076887,0.63,-408.649515,-1.98,2.68,-63.67616071,93.23,58.83,108.02,-0.53,-0.48,10.5,18.49,81.19546584,1.177810694,1.08,KOSDAQ
동국제강(주),001230,201212,198805,,0,0,0,제조업,1,-8.19677585,-9.944928841,-10.98428749,-2.94,-125.0526886,-0.69,2.27,-2238.020276,113.52,80.31,228.81,3.88,3.2,6.06,7.18,132.6018486,2.809008894,1.17,KOSPI
(주)티엘아이,062860,201612,200607,,0,0,0,제조업,1,-22.36308992,-16.68875497,-38.67458151,10.61,-136.0420685,-0.68,-0.89,-48.17021044,712.75,623.2,10.54,102.17,15.04,11.95,18.46,62.39054795,1.024715105,2.3,KOSDAQ
에스와이(주),109610,202012,201512,,0,0,0,제조업,1,-4.04296885,29.09599136,-18.42545913,-9.55,-48.16391053,-3.52,2.61,-619.7837414,120.86,84.1,120.88,2.54,1.56,5.81,6.5,3.245709571,3.111719841,1.44,KOSDAQ
큐렉소(주),060280,201112,200207,,1,0,1,도매 및 소매업,1,78.27578096,38.77144272,82.96258463,2.56,20.02520889,-10.89,3.84,-443.2884013,245.48,223.92,171.85,-19.46,-13.66,-0.12,-0.31,51.991,1.582973821,0.84,KOSDAQ
(주)선진,136490,201912,201102,,0,0,0,제조업,1,7.214512578,0.051372223,11.13994402,4.57,15.32736104,4.22,0.74,852.1082605,86.75,62.81,196.82,-0.8,-0.51,13.01,12.62,208.2906557,3.06167187,1.64,KOSPI
(주)디티앤씨,187220,201712,201412,,0,0,0,"전문, 과학 및 기술 서비스업",0,10.69960396,5.5693494,23.34081239,11.84,81.79631246,4.77,2.14,415.2413819,96.1,96.1,63.91,8.12,7.79,24.32,59.82,93.66886275,0.684377369,1.14,KOSDAQ
(주)케이엔엔,058400,202012,201011,,0,0,0,정보통신업,0,1.740624332,1.830185741,-19.38777945,-7.19,-16.6195213,2.93,-2.3,46.77594274,510.93,510.93,8.48,84.01,20.38,16.47,61.44,219.9377519,0.3672534,4.13,KOSDAQ
(주)씨아이테크,004920,201112,198911,,1,0,1,제조업,1,-8.40761663,-10.78281476,-3.693206758,0.0,-11.20250034,-8.05,-2.91,-1652.52375,387.93,387.93,10.83,-19.54,-13.66,-3.59,-5.86,-75.62221774,0.348038399,2.92,KOSPI
