회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률,시장구분
(주)마니커,027740,201212,200210,,1,0,1,제조업,1,-0.3522637540013174,-4.029712818195541,-1.956342668863262,1.318181818181818,-0.5194854461057392,-0.387963146045987,-0.5023677979479084,-0.6490066225165564,-0.88447270800212,-0.9309596125088138,-0.3126130771171201,-0.2645739910313902,0.2499999999999998,KOSPI
(주)비비안,002070,201212,197607,,0,0,0,제조업,1,-0.1362558707972223,-1.2856541883952384,-0.7158154859967051,0.2272727272727273,-0.4377838238257486,-0.8414622506712781,-0.952249408050513,-1.033112582781457,-0.2522522522522524,-0.6089835784501978,-0.5347259594167093,0.5291479820627802,0.1562499999999997,KOSPI
명문제약(주),017180,201812,200807,,0,0,0,제조업,1,0.058539105785968,-0.3323672226333592,-0.2215815485996704,1.1493506493506491,-0.2847065504388279,-0.0800152124586723,-0.2288871349644829,0.1081677704194259,0.3979862215156332,-0.0694122263767785,-0.3863250712940611,-0.5964125560538118,-0.7343750000000001,KOSPI
(주)메타바이오메드,059210,201212,200804,,0,0,0,제조업,1,3.0822480350309256,0.6276871822434322,0.2907742998352552,2.1623376623376624,-0.1955415713037564,-0.2013354018493069,-0.234411996842936,0.3587196467991169,0.3789083200847906,-0.3242824280867677,-0.2771981690043442,-0.5426008968609868,-0.3281250000000001,KOSDAQ
(주)신도리코,029530,201912,199612,,0,1,1,제조업,1,-1.3869386118604885,-0.798267743800002,-0.5799011532125206,-2.1818181818181817,0.8066724112795299,1.954971705943891,1.9506708760852407,0.607064017660044,0.2914679385267621,0.0796386454228166,0.7392801871945429,1.3991031390134532,-0.953125,KOSPI
(주)시노펙스,025320,201212,199504,,0,0,0,제조업,1,1.6829764403514522,-0.7403551844149414,-0.3311367380560131,0.461038961038961,-0.701749563381262,-0.2807392527090472,-0.1468034727703235,-0.3322295805739514,-0.9183889772125068,-0.948840168162197,-0.3125047472576318,0.4753363228699552,1.09375,KOSDAQ
(주)오텍,067170,201912,200311,,0,0,0,제조업,1,-0.0218075557819232,0.082164988021647,0.7108731466227348,0.1883116883116883,0.4117661717585431,-1.248612354694547,-0.6874506708760851,-0.826710816777042,-0.5723370429252783,1.2065347789176917,1.9169009910140893,0.1838565022421523,0.5624999999999998,KOSDAQ
(주)대한과학,131220,201812,201110,,0,0,0,도매 및 소매업,1,0.4867517493730018,0.4430807119226633,0.1301482701812191,-0.2077922077922077,-0.0361402414259312,-0.0603174474015393,1.2257300710339385,0.3587196467991169,0.2511923688394276,-0.3813690552867473,-0.532735706246579,0.9955156950672648,0.5312499999999998,KOSDAQ
우리산업(주),215360,201812,201505,,0,0,0,제조업,1,0.7562257921446297,0.0686488536073829,0.7224052718286657,0.0649350649350649,0.7215305547335547,0.5011490137275671,-0.0023677979479083,-0.0584988962472406,-0.1404345521992582,0.6567716044798639,-0.001530510099545,0.0403587443946187,0.0937499999999997,KOSDAQ
(주)한국팩키지,037230,201212,199912,,0,0,0,제조업,1,-0.9063291240954104,-1.0784854694098318,-0.6334431630971993,-0.9350649350649352,-0.2761103140720919,-0.3303704343030553,0.5935280189423836,-0.0286975717439294,-0.1881293057763646,-0.250581343557699,-0.3391929842494676,0.6860986547085203,-0.1562500000000001,KOSDAQ
