,회사명,거래소코드,회계년도,영업손익,전기영업손익,당기순이익,전기순이익,매출액,전기매출액,정상영업이익증가율,순이익증가율,매출액증가율
18225,인지컨트롤스(주),23800,2019/12,5594454.0,11088639.0,-7814201.0,984498.0,494157939.0,504149220.0,-49.54787508187434,-893.7244158952075,-1.9818102664127895
18226,인지컨트롤스(주),23800,2020/12,-2884750.0,5594454.0,-2665891.0,-7814201.0,458654121.0,494157939.0,-151.56446008850907,-65.88402320339597,-7.184710635601061
18227,인천도시가스(주),34590,2011/12,15056193.0,,11142354.0,,628676274.0,,,,
18228,인천도시가스(주),34590,2012/12,10028538.0,15056193.0,9580738.0,11142354.0,722342385.0,628676274.0,-33.39260462455549,-14.015135401370301,14.898941613311145
18229,인천도시가스(주),34590,2013/12,11942936.0,10028538.0,10285386.0,9580738.0,767163655.0,722342385.0,19.08950237811334,7.354840514373737,6.204989618600326
18230,인천도시가스(주),34590,2014/12,11095874.0,11942936.0,23420735.0,10285386.0,799267004.0,767163655.0,-7.092577570540444,127.70885798549514,4.184680646791068
18231,인천도시가스(주),34590,2015/12,5815412.0,11095874.0,7158568.0,23420735.0,611915383.0,799267004.0,-47.58941927422752,-69.43491312292292,-23.44042980160357
18232,인천도시가스(주),34590,2016/12,10962107.0,5815412.0,8591880.0,7158568.0,514879137.0,611915383.0,88.50095229710294,20.02232848804398,-15.857788298157557
18233,인천도시가스(주),34590,2017/12,14891559.0,10962107.0,13728650.0,8591880.0,537616318.0,514879137.0,35.845773079938006,59.78633314245544,4.416022978223722
18234,인천도시가스(주),34590,2018/12,17960192.0,14891559.0,16123899.0,13728650.0,584435277.0,537616318.0,20.606526153507502,17.447083289325608,8.708619406154261
18235,인천도시가스(주),34590,2019/12,11958359.0,17960192.0,10707999.0,16123899.0,573464485.0,584435277.0,-33.41742115006343,-33.589270188308674,-1.8771611556911545
18236,인천도시가스(주),34590,2020/12,10771513.0,11958359.0,11385368.0,10707999.0,504491710.0,573464485.0,-9.924823297243377,6.325822406221741,-12.027383875393785
18237,인카금융서비스(주),211050,2013/12,,,,,,,,,
18238,인카금융서비스(주),211050,2014/12,,,,,,,,,
18239,인카금융서비스(주),211050,2015/12,,,,,,,,,
18240,인카금융서비스(주),211050,2016/12,,,,,,,,,
18241,인카금융서비스(주),211050,2017/12,,,,,,,,,
18242,인카금융서비스(주),211050,2018/12,4606495.0,,1246048.0,,199877746.0,,,,
18243,인카금융서비스(주),211050,2019/12,2808139.0,4606495.0,3402435.0,1246048.0,244431780.0,199877746.0,-39.03957347180448,173.0581004905108,22.290642601102775
18244,인카금융서비스(주),211050,2020/12,14664691.0,2808139.0,11288085.0,3402435.0,301025442.0,244431780.0,422.22097980192575,231.76489778643824,23.15315218012977
18245,인크로스(주),216050,2011/12,,,,,,,,,
18246,인크로스(주),216050,2012/12,,,,,,,,,
18247,인크로스(주),216050,2013/12,1554779.0,,1204448.0,,36306202.0,,,,
18248,인크로스(주),216050,2014/12,2917474.0,1554779.0,864175.0,1204448.0,52060448.0,36306202.0,87.64557535186674,-28.2513649406201,43.392712903431764
18249,인크로스(주),216050,2015/12,5535302.0,2917474.0,-230259.0,864175.0,26514435.0,52060448.0,89.72926579637041,-126.64495038620649,-49.069906198271674
18250,인크로스(주),216050,2016/12,8998263.0,5535302.0,6325595.0,-230259.0,31454021.0,26514435.0,62.56137424841499,-103.64011606813273,18.629799201831002
18251,인크로스(주),216050,2017/12,10248899.0,8998263.0,8292616.0,6325595.0,36750462.0,31454021.0,13.898637992688146,31.096220987907063,16.838677000946873
18252,인크로스(주),216050,2018/12,11087813.0,10248899.0,8627690.0,8292616.0,35769759.0,36750462.0,8.185406061665745,4.040630845561883,-2.6685460444007476
18253,인크로스(주),216050,2019/12,12209437.0,11087813.0,9314082.0,8627690.0,34463400.0,35769759.0,10.11582716988463,7.955686864038926,-3.652132517862365
18254,인크로스(주),216050,2020/12,14847199.0,12209437.0,12307080.0,9314082.0,39440174.0,34463400.0,21.60428855155238,32.13411692102346,14.440751637969557
18255,인탑스(주),49070,2011/12,36285946.0,,29776557.0,,653398322.0,,,,
18256,인탑스(주),49070,2012/12,59253848.0,36285946.0,55982377.0,29776557.0,976523471.0,653398322.0,63.296963513091264,88.00822741192006,49.45301175719885
18257,인탑스(주),49070,2013/12,42101724.0,59253848.0,55290943.0,55982377.0,1052725005.0,976523471.0,-28.946852531838946,-1.2350922505487754,7.803348947871832
18258,인탑스(주),49070,2014/12,-3236096.0,42101724.0,-1359653.0,55290943.0,697345855.0,1052725005.0,-107.68637407817315,-102.45908810055926,-33.758023065102364
18259,인탑스(주),49070,2015/12,31832381.0,-3236096.0,32742568.0,-1359653.0,661590454.0,697345855.0,-110.1660507267741,-104.15255455833518,-5.127355492777683
18260,인탑스(주),49070,2016/12,35204819.0,31832381.0,35141346.0,32742568.0,617419001.0,661590454.0,10.594363016703024,7.326175515616246,-6.676555372426822
