회사명,거래소코드,회계년도,상장일,상장폐지일,자기자본회전률
(주)금양,1570,201612,197612,,3.6497577435625788
(주)금양,1570,201712,197612,,3.9179223432472354
(주)금양,1570,201812,197612,,2.998010999959125
(주)금양,1570,201912,197612,,2.3381601343951743
(주)금양,1570,202012,197612,,2.3793730354104423
(주)금오하이텍,165270,201112,201312,2017/06/07,
(주)금오하이텍,165270,201212,201312,2017/06/07,
(주)금오하이텍,165270,201312,201312,2017/06/07,
(주)금오하이텍,165270,201412,201312,2017/06/07,
(주)금오하이텍,165270,201512,201312,2017/06/07,
(주)금오하이텍,165270,201612,201312,2017/06/07,
(주)금호에이치티,214330,201112,201511,,
(주)금호에이치티,214330,201212,201511,,
(주)금호에이치티,214330,201312,201511,,
(주)금호에이치티,214330,201412,201511,,3.238874119679825
(주)금호에이치티,214330,201512,201511,,2.8126846697918366
(주)금호에이치티,214330,201612,201511,,2.4879168172349653
(주)금호에이치티,214330,201712,201511,,2.0301765992257526
(주)금호에이치티,214330,201812,201511,,1.94113080838226
(주)금호에이치티,214330,201912,201511,,1.6881329974037234
(주)금호에이치티,214330,202012,201511,,1.1098984236204696
(주)금화피에스시,36190,201112,200012,,1.0837373150420222
(주)금화피에스시,36190,201212,200012,,1.283415525636811
(주)금화피에스시,36190,201312,200012,,1.5827053769817214
(주)금화피에스시,36190,201412,200012,,1.5101504855021484
(주)금화피에스시,36190,201512,200012,,1.6701269689915645
(주)금화피에스시,36190,201612,200012,,1.479215019185272
(주)금화피에스시,36190,201712,200012,,1.1661099497259977
(주)금화피에스시,36190,201812,200012,,1.152360538888927
(주)금화피에스시,36190,201912,200012,,0.9103178603659601
(주)금화피에스시,36190,202012,200012,,0.9470849649351859
(주)기가레인,49080,201312,201312,,1.5194372436011983
(주)기가레인,49080,201412,201312,,1.3876519451027396
(주)기가레인,49080,201512,201312,,0.8714671341785857
(주)기가레인,49080,201612,201312,,1.2233466468196446
(주)기가레인,49080,201712,201312,,1.3691604256090983
(주)기가레인,49080,201812,201312,,1.5871374583286788
(주)기가레인,49080,201912,201312,,1.506227448126091
(주)기가레인,49080,202012,201312,,1.1293896305128706
(주)기산텔레콤,35460,201112,199911,,1.9380893550996499
(주)기산텔레콤,35460,201212,199911,,2.272474310100784
(주)기산텔레콤,35460,201312,199911,,2.335996109717113
(주)기산텔레콤,35460,201412,199911,,1.986352841067676
(주)기산텔레콤,35460,201512,199911,,1.973856361935271
(주)기산텔레콤,35460,201612,199911,,1.4409371164327993
(주)기산텔레콤,35460,201712,199911,,1.6955635176130857
(주)기산텔레콤,35460,201812,199911,,1.6942201233308771
(주)기산텔레콤,35460,201912,199911,,2.0217992041031563
(주)기산텔레콤,35460,202012,199911,,1.9724004756809974
(주)까뮤이앤씨,13700,201112,198911,,1.954041377589913
(주)까뮤이앤씨,13700,201212,198911,,2.0951223304999873
(주)까뮤이앤씨,13700,201312,198911,,2.244091429977928
(주)까뮤이앤씨,13700,201412,198911,,3.5603658136541076
(주)까뮤이앤씨,13700,201512,198911,,3.24900996183582
(주)까뮤이앤씨,13700,201612,198911,,2.883575364421773
(주)까뮤이앤씨,13700,201712,198911,,3.12426301395953
(주)까뮤이앤씨,13700,201812,198911,,1.960019962749504
(주)까뮤이앤씨,13700,201912,198911,,4.343779164199937
(주)까뮤이앤씨,13700,202012,198911,,2.1045080332776305
(주)까스텔바작,308100,201612,201906,,0.7373730026498045
(주)까스텔바작,308100,201712,201906,,1.7259567780789165
(주)까스텔바작,308100,201812,201906,,1.6102563391667373
(주)까스텔바작,308100,201912,201906,,1.166725155686638
(주)까스텔바작,308100,202012,201906,,0.8507472647528838
(주)나노,187790,201412,201405,,
(주)나노,187790,201512,201405,,
(주)나노,187790,201612,201405,,1.251640695723213
(주)나노,187790,201712,201405,,1.845187217123988
