,회사명,거래소코드,회계년도,상장일,상장폐지일,1주당매출액,1주당순이익,1주당Cashflow,1주당순자산,노동소득분배율
133,(주)강원랜드,35250,Dec-13,2003-09-04,,6362.921457,1391.023892,1983.762434,11797.49977,39.79571704
134,(주)강원랜드,35250,Dec-14,2003-09-04,,6995.129211,1679.665926,2385.771469,12695.93649,32.30880889
135,(주)강원랜드,35250,Dec-15,2003-09-04,,7636.314017,2064.26133,2687.577041,14010.6338,29.3702341
136,(주)강원랜드,35250,Dec-16,2003-09-04,,7929.92683,2124.579773,2788.096929,15203.93754,29.9242168
137,(주)강원랜드,35250,Dec-17,2003-09-04,,7499.608793,2045.150437,2164.386827,16363.38141,32.17510842
138,(주)강원랜드,35250,Dec-18,2003-09-04,,6721.77217,1389.343677,1701.027585,16763.78713,39.7815375
139,(주)강원랜드,35250,Dec-19,2003-09-04,,7105.155167,1564.23815,1906.459385,17380.68762,32.12003965
140,(주)강원랜드,35250,Dec-20,2003-09-04,,2236.971803,-1289.513224,-3064.760211,15166.57201,1177.274476
141,(주)강원에너지,114190,Nov-11,2009-11-20,,9476.017358,1085.795283,2849.590566,4623.018868,43.23587871
142,(주)강원에너지,114190,Dec-12,2009-11-20,,8405.516425,708.508114,-248.294482,2850.595721,39.28224006
143,(주)강원에너지,114190,Dec-13,2009-11-20,,3999.475401,309.644105,1340.190116,3621.822862,57.57083019
144,(주)강원에너지,114190,Dec-14,2009-11-20,,3577.337012,78.04856965,-1014.554899,3505.325078,84.56162449
145,(주)강원에너지,114190,Dec-15,2009-11-20,,3028.163191,6.7187962,622.7647884,3598.039209,87.21709332
146,(주)강원에너지,114190,Dec-16,2009-11-20,,2772.398205,-73.7801604,-1034.802659,3523.627764,83.75822101
147,(주)강원에너지,114190,Dec-17,2009-11-20,,5378.26445,-422.9860559,-243.0217472,3089.02559,1037.06889
148,(주)강원에너지,114190,Dec-18,2009-11-20,,5590.287394,111.2057373,-662.0130051,3207.284021,59.85972438
149,(주)강원에너지,114190,Dec-19,2009-11-20,,2439.258037,-2043.573963,399.0013228,1313.026143,-30.88352291
150,(주)강원에너지,114190,Dec-20,2009-11-20,,2112.109831,-709.1614495,-246.9422736,948.0079522,-99.46302673
151,(주)갤럭시아에스엠,11420,Dec-11,1989-11-14,,2412.109075,148.2724051,303.2955561,1250.610016,26.76776547
152,(주)갤럭시아에스엠,11420,Dec-12,1989-11-14,,2805.450132,19.82543033,142.7687527,1281.849786,38.24126393
153,(주)갤럭시아에스엠,11420,Dec-13,1989-11-14,,2366.542686,-88.50843301,230.7145641,1145.271349,33.98484783
154,(주)갤럭시아에스엠,11420,Dec-14,1989-11-14,,2236.517466,-13.00909612,-3.588241697,1192.615143,59.33870974
155,(주)갤럭시아에스엠,11420,Dec-15,1989-11-14,,2267.642878,67.6514368,88.99084141,1839.043728,57.8137881
156,(주)갤럭시아에스엠,11420,Dec-16,1989-11-14,,1910.236336,-56.72015217,-43.39598726,1627.861326,109.0787118
157,(주)갤럭시아에스엠,11420,Dec-17,1989-11-14,,1353.239991,-214.1493371,-268.2155167,1469.855654,3378.402638
158,(주)갤럭시아에스엠,11420,Dec-18,1989-11-14,,800.751291,-580.8879055,-101.9929332,972.6804455,-57.99820592
159,(주)갤럭시아에스엠,11420,Dec-19,1989-11-14,,1042.941934,-49.92137103,32.79784668,791.2624933,85.90269594
160,(주)갤럭시아에스엠,11420,Dec-20,1989-11-14,,709.2503264,35.71403681,104.1500573,752.0605348,58.97179193
161,(주)경농,2100,Dec-11,1977-06-30,,5589.848906,23.49575299,652.9193357,6731.453202,67.52361481
162,(주)경농,2100,Dec-12,1977-06-30,,6314.402895,475.3115355,405.5431212,6984.222112,47.92215548
163,(주)경농,2100,Dec-13,1977-06-30,,9052.241152,643.113119,855.7778418,7500.363041,46.99232713
164,(주)경농,2100,Dec-14,1977-06-30,,8689.162792,327.2813397,677.9807992,7790.934341,55.70309917
165,(주)경농,2100,Dec-15,1977-06-30,,9054.996024,321.7993938,-454.2832644,7977.963972,58.85428499
166,(주)경농,2100,Dec-16,1977-06-30,,9403.802782,293.4666405,737.4312354,8147.014418,62.12534561
167,(주)경농,2100,Dec-17,1977-06-30,,9521.333318,464.6670739,729.0943331,8434.496986,56.15636961
168,(주)경농,2100,Dec-18,1977-06-30,,9803.479065,224.8977607,488.9992278,8623.877742,59.39254041
169,(주)경농,2100,Dec-19,1977-06-30,,10488.36267,185.0779213,-47.03036869,8800.258163,62.26365006
170,(주)경농,2100,Dec-20,1977-06-30,,11446.54184,612.9028778,731.5289914,9094.056496,53.74785432
171,(주)경동나비엔,9450,Dec-11,1993-08-31,,26786.50254,743.1230087,1216.196227,11245.95844,65.76482666
172,(주)경동나비엔,9450,Dec-12,1993-08-31,,29751.08611,719.8051573,2170.31126,11947.1628,69.32541967
173,(주)경동나비엔,9450,Dec-13,1993-08-31,,32511.26315,873.6283421,1641.557014,12676.70421,65.84129955
174,(주)경동나비엔,9450,Dec-14,1993-08-31,,33673.61578,736.296294,-1041.339738,13186.06446,68.79652786
175,(주)경동나비엔,9450,Dec-15,1993-08-31,,40192.37161,1314.964233,3431.809701,14538.07878,63.32989552
176,(주)경동나비엔,9450,Dec-16,1993-08-31,,45782.99354,2941.237457,4814.408089,16499.30021,53.31704379
177,(주)경동나비엔,9450,Dec-17,1993-08-31,,53743.11555,2120.891934,1578.677908,17428.29983,63.29418355
178,(주)경동나비엔,9450,Dec-18,1993-08-31,,57046.2769,1942.660118,-1121.400352,18866.97369,65.7810101
179,(주)경동나비엔,9450,Dec-19,1993-08-31,,60778.68803,2186.276395,6166.239361,19981.93023,59.71714055
180,(주)경동나비엔,9450,Dec-20,1993-08-31,,64198.92339,3060.50359,4235.668036,20687.7314,61.92005083
181,(주)경동도시가스,267290,Dec-17,2017-05-12,,184765.0294,3773.228384,4106.726368,62036.2713,
182,(주)경동도시가스,267290,Dec-18,2017-05-12,,340578.8447,7242.81147,25589.06379,67576.15915,37.79270455
183,(주)경동도시가스,267290,Dec-19,2017-05-12,,241324.8273,4179.245331,5762.686404,57282.22959,42.53536278
184,(주)경동도시가스,267290,Dec-20,2017-05-12,,184352.1257,3225.74374,53.3259287,60193.98834,45.24948034
185,(주)경동인베스트,12320,Dec-11,1997-03-07,,530207.4446,8702.811926,25421.6021,118489.4399,35.17250664
186,(주)경동인베스트,12320,Dec-12,1997-03-07,,718159.5483,12304.63786,43207.95168,134562.0983,35.30872091
187,(주)경동인베스트,12320,Dec-13,1997-03-07,,800121.7803,14302.65869,19867.31778,148310.9504,43.7448257
188,(주)경동인베스트,12320,Dec-14,1997-03-07,,746975.1659,21789.02835,5974.076274,160928.0303,0
189,(주)경동인베스트,12320,Dec-15,1997-03-07,,460333.0125,-6098.309803,-14428.09286,157405.877,0
190,(주)경동인베스트,12320,Dec-16,1997-03-07,,339159.3885,5490.247647,7712.444904,159621.2121,0
191,(주)경동인베스트,12320,Dec-17,1997-03-07,,82481.16784,21957.86679,25436.57715,130987.7325,9.210350473
192,(주)경동인베스트,12320,Dec-18,1997-03-07,,96677.29066,12612.12809,5291.217464,131255.806,65.52330101
193,(주)경동인베스트,12320,Dec-19,1997-03-07,,114910.0981,3744.576268,13695.72727,130361.9457,77.57890722
194,(주)경동인베스트,12320,Dec-20,1997-03-07,,131302.3121,6969.788032,7804.373573,129185.213,78.70682542
195,(주)경방,50,Dec-11,1956-03-03,,167373.2543,-543.8350962,-7042.018269,325300,27.05641634
196,(주)경방,50,Dec-12,1956-03-03,,160394.6173,-3802.965385,8552.433173,321987.9808,29.51595354
197,(주)경방,50,Dec-13,1956-03-03,,139304.9944,5847.773822,20524.82087,275075.0512,22.03456689
198,(주)경방,50,Dec-14,1956-03-03,,120019.2531,4190.537244,8688.346312,237666.8185,23.4835635
199,(주)경방,50,Dec-15,1956-03-03,,130448.5223,6088.637099,14561.43966,245035.3398,21.34659463
200,(주)경방,50,Dec-16,1956-03-03,,13767.69271,1075.13032,2479.679354,25177.42849,19.63959585
201,(주)경방,50,Dec-17,1956-03-03,,13160.13849,923.4036725,2110.739781,25933.1752,19.03816581
202,(주)경방,50,Dec-18,1956-03-03,,12819.0941,736.423205,441.1372202,26597.8048,23.07595968
203,(주)경방,50,Dec-19,1956-03-03,,12543.81536,1591.143585,2439.344387,27018.95695,15.2796103
204,(주)경방,50,Dec-20,1956-03-03,,12008.809,475.1258332,1226.894756,27702.44466,17.47681829
205,(주)경보제약,214390,Dec-11,2015-06-29,,,,,,
206,(주)경보제약,214390,Dec-12,2015-06-29,,,,,,
207,(주)경보제약,214390,Dec-13,2015-06-29,,75393.59468,8377.385473,10052.35272,30776.38818,38.49535265
208,(주)경보제약,214390,Dec-14,2015-06-29,,78908.67473,4013.704112,7455.726089,31757.51075,37.49476793
209,(주)경보제약,214390,Dec-15,2015-06-29,,7446.926614,1092.139369,177.3608914,5137.312052,44.51134093
210,(주)경보제약,214390,Dec-16,2015-06-29,,7810.568598,531.476321,1059.478451,5412.756004,54.51054168
211,(주)경보제약,214390,Dec-17,2015-06-29,,8017.003237,751.3872587,1079.403401,5919.221512,46.03023624
212,(주)경보제약,214390,Dec-18,2015-06-29,,8422.000882,548.6311879,-47.60805058,6233.022655,54.37515295
213,(주)경보제약,214390,Dec-19,2015-06-29,,8018.877803,221.0762518,990.0133685,6239.380663,64.77021797
214,(주)경보제약,214390,Dec-20,2015-06-29,,9005.159816,393.3785533,869.8435094,6527.707947,59.41948691
215,(주)경인양행,12610,Dec-11,1995-10-05,,6215.867973,76.9696,262.39128,4236.853333,65.88695901
216,(주)경인양행,12610,Dec-12,1995-10-05,,5829.457467,55.82642667,554.7155467,4323.013333,68.01136024
217,(주)경인양행,12610,Dec-13,1995-10-05,,6456.234367,252.8868625,25.91344543,4408.193658,57.82335205
218,(주)경인양행,12610,Dec-14,1995-10-05,,6861.535561,251.216836,454.7187847,4615.118217,64.88466895
219,(주)경인양행,12610,Dec-15,1995-10-05,,6514.538548,90.87191385,134.7859145,4601.97347,71.74803441
220,(주)경인양행,12610,Dec-16,1995-10-05,,6804.419581,169.2608233,470.6782157,4728.692792,68.22951778
221,(주)경인양행,12610,Dec-17,1995-10-05,,7426.107002,118.3088874,131.7805699,4724.286455,72.9102165
222,(주)경인양행,12610,Dec-18,1995-10-05,,8196.331799,341.6614837,46.37575683,4907.297971,63.81009885
223,(주)경인양행,12610,Dec-19,1995-10-05,,8797.116046,401.4302329,165.941976,4930.226069,63.64953216
224,(주)경인양행,12610,Dec-20,1995-10-05,,7978.223809,-183.6778263,1321.619721,4641.518215,77.55695476
225,(주)고려시멘트,198440,Dec-14,2014-08-13,,,,,,
226,(주)고려시멘트,198440,Dec-15,2014-08-13,,,,,,
227,(주)고려시멘트,198440,Dec-16,2014-08-13,,,,,,
228,(주)고려시멘트,198440,Dec-17,2014-08-13,,2875.997081,32.93183456,103.7359301,2539.176561,58.59360042
229,(주)고려시멘트,198440,Dec-18,2014-08-13,,2682.171053,145.2743843,54.0575723,2705.162858,45.41420933
230,(주)고려시멘트,198440,Dec-19,2014-08-13,,2217.694487,106.2053861,89.50101876,2765.638231,51.04598305
231,(주)고려시멘트,198440,Dec-20,2014-08-13,,2194.584077,138.9996735,248.992838,2888.121186,43.45712631
232,(주)고바이오랩,348150,Dec-19,2020-11-18,,81.21587355,-6207.796608,-804.2419632,-7572.901699,
233,(주)고바이오랩,348150,Dec-20,2020-11-18,,295.8715871,-3548.820163,-822.9248357,3488.351263,-10.77756417
234,(주)고영테크놀러지,98460,Dec-11,2008-06-03,,9985.152833,1812.501855,1611.861643,8159.391821,29.76741975
235,(주)고영테크놀러지,98460,Dec-12,2008-06-03,,12043.78514,1699.988519,1272.912936,9391.30462,36.28099004
236,(주)고영테크놀러지,98460,Dec-13,2008-06-03,,12495.2325,1555.813246,1483.190693,11171.96169,43.85851178
237,(주)고영테크놀러지,98460,Dec-14,2008-06-03,,10630.79313,1645.603143,1905.506149,8808.055044,35.95612782
