회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,자기자본회전률,당좌자산회전률,재고자산회전률,매출채권회전률
(주)SNT에너지,100840,201512,200802,,0,0,0,제조업,1,3.837053075,139.9620463,11.40395236,7.146191304,6.42,146.181537,10.39,10.93,12.31,-0.18,77.63,36712.53203,3815.301671,311.2161965,32662.33917,6432.47,286.28,269.65,49.36,216.31,36.64,359.1,-13.31,0.0,-4.34,-16.63309944,45.23,1511.99,30.11322367,231.4545259,511.7025862,15.30794397,1362.913793,1.184635276,1.6,18.29,4.59
(주)SNT에너지,100840,201612,200802,,0,0,0,제조업,1,10.07167717,-93.85961459,-0.691604331,-2.308449238,-6.03,-96.47637586,0.65,0.36,0.72,-0.09,77.51,35865.04187,234.274227,4942.792209,32436.49758,6387.29,207.24,200.61,57.56,202.26,51.45,389.0242857,15.74,0.0,7.32,-6.634530319,17.82,701.11,75.91191483,96.55591743,541.9633028,13.77177523,1596.522936,1.101865473,1.34,29.08,4.51
(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-13.72696557,176.0535674,1.748375357,-27.54850128,-10.55,558.2374493,2.49,5.92,1.98,-0.1,78.47,25984.76035,646.7223611,-787.5415054,33003.50111,6500.71,351.97,347.24,116.39,300.69,28.42,389.0242857,22.15,0.0,8.0,-4.731239242,19.42,993.38,63.94620718,116.3751282,599.1025641,11.71508718,1539.830769,0.794155467,0.98,40.44,3.71
(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.886024318,-7.791063142,7.591926828,11.02629503,0.0,0.091018683,5.24,5.79,6.88,-0.01,70.91,111492.2538,5842.934158,5828.544162,25988.60865,6053.63,174.28,128.31,39.04,103.95,62.08,16.87,9.54,91.32,4.66,61.8918597,32.51,253.03,48.60095359,-75.62221774,16.77777778,0.0,11774.45455,1.269135447,2.25,6.44,4.67
(주)SNT홀딩스,36530,201312,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.579555216,-15.00436598,4.274764453,-5.53596676,-11.11,-1.044982685,3.41,4.01,4.41,-0.19,70.47,105630.4887,3602.595799,6310.49867,26592.55856,6793.14,188.1,133.44,48.56,109.33,56.38,30.38,9.78,94.02,4.8,62.04396417,29.4,217.13,61.3042469,680.751875,6.875,0.0,11774.45455,1.170981598,2.13,5.33,4.29
(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-5.108346682,24.59344158,-1.333292015,-1.52208437,0.0,-22.75182731,4.32,3.13,5.51,-0.24,70.78,104022.7035,4488.598092,6384.500526,26727.31316,7118.65,208.24,148.81,50.97,121.85,50.39,34.38,13.86,284.03,6.1,54.90367272,30.84,236.39,59.10541609,680.751875,9.375,0.0,11774.45455,1.137101739,2.11,5.22,4.7
(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.370655606,73.79935803,12.77307699,3.889017186,0.0,146.5975508,7.22,7.68,5.75,-0.28,72.73,104927.7134,7574.453828,7824.511993,27451.06791,7370.38,263.0,201.03,82.77,143.28,41.85,218.55,16.84,1448.33,6.68,38.01578705,42.17,312.8,43.88689703,680.751875,6.875,0.0,11774.45455,1.117909751,2.04,5.84,5.17
(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.883875307,-91.28450952,0.107472354,-4.653343476,0.0,-55.25201112,0.66,3.3,0.47,-0.3,72.56,97137.71797,640.9665634,9088.106807,26953.89576,7190.35,247.45,198.81,88.69,136.89,44.37,286.46,19.44,1852.23,8.59,32.98459307,25.68,197.68,65.42289175,680.751875,4.5,0.0,11774.45455,1.004986321,1.67,6.08,4.86
(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.895851587,154.8947191,-0.757692402,-1.921580134,-12.5,-16.11155647,1.71,2.78,1.14,-0.3,72.48,95271.13888,1633.789921,6582.950903,26856.17057,7297.38,264.63,216.54,92.09,126.47,41.26,178.66,19.79,1902.41,8.22,29.21484461,25.21,214.2,66.72353576,629.3057143,2.86376742,0.0,11774.45455,0.988891988,1.55,6.66,4.77
(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.511469219,-37.44289232,-0.516871344,-5.049873056,-10.0,0.640743452,5.42,5.64,4.62,-0.43,77.06,88062.11593,4777.35308,16026.38776,25986.68808,7434.17,269.15,222.26,79.06,113.5,40.37,152.96,26.84,2819.67,12.21,27.71777185,35.33,269.56,49.39128789,680.751875,5.0,0.0,11774.45455,0.885322319,1.39,6.44,4.83
