회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
삼성에스디에스(주),18260,201912,201411,,0,0,0,정보통신업,0,12.5705693,17.47934444,9.377897231,6.830754937,-1.39,12.84924341,7.0,-0.62,78.18,138536.2701,9698.5047,11550.94413,70858.33404,8431.84,374.89,67.61,264.38,65.69,45.52,234.09,0.373089784,347.8,1063.45,35.92,60.92580875,208.3735493,81.19214463,23.79957419,526.0806335,591.33,7.85
삼성엔지니어링(주),28050,201212,199612,,0,0,0,"전문, 과학 및 기술 서비스업",0,9.346204411,1.2728282,32.48833608,23.03645986,15.17,2.094458049,4.55,0.05,30.19,286003.9186,13026.8678,-1855.01,42981.625,912.13,117.83,12.28,60.8,37.02,-0.22,-2.32,0.0,274.92,2526.11,17.6,58.71064281,241.1644061,84.94192302,0.965505587,636.8416333,0.0,11.43
삼성엔지니어링(주),28050,201812,199612,,0,0,0,"전문, 과학 및 기술 서비스업",0,-8.933585108,213.3271764,2.229713813,-0.843190042,6.55,643.2236429,1.15,0.51,-9.95,27892.64185,320.6918878,2276.777469,4031.607143,22.64,87.39,10.93,275.26,4.7,4.31,28.0,0.0,274.36,3388.76,19.93,71.81862574,146.1123493,75.48891482,4.388729288,776.8879813,0.0,4.06
삼성엔지니어링(주),28050,201912,199612,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.167552222,415.1646034,29.79692554,16.92167167,2.99,115.2369689,5.07,0.04,8.04,32612.54313,1652.091092,4000.633923,4730.556122,34.2,97.46,19.8,235.55,26.71,18.81,330.3,0.0,321.21,4615.09,21.45,60.29649716,184.1726964,72.94750755,4.402699018,696.0203927,0.0,4.92
삼성전기(주),9150,201212,197902,,0,0,0,제조업,1,-5.968149261,15.19550765,2.318502791,31.1842976,4.22,80.91428142,5.71,0.28,12.05,101968.5611,5824.770286,14424.66817,48415.16853,904.28,91.54,34.89,195.62,11.78,27.49,52.87,124.6671011,87.82,168.51,27.04,47.46124292,151.4663317,128.818593,51.10795008,460.5376884,9.9,9.0
삼성전기(주),9150,201812,197902,,0,0,0,제조업,1,11.2973487,286.457179,14.19848535,19.80776842,9.57,232.4759632,8.36,0.82,7.23,105579.2714,8827.480816,20085.76782,51256.88332,1180.34,96.02,39.94,355.9,11.3,30.77,46.38,109.8312342,82.1,155.59,40.65,47.63836353,151.9397466,180.2393141,79.15603293,464.882092,8.05,9.04
삼성전기(주),9150,201912,197902,,0,0,0,제조업,1,0.33932117,-22.91470373,9.77660101,-1.857746552,-2.16,-27.90463893,6.57,0.7,9.43,103617.8761,6804.68974,13160.58352,55740.00125,1299.92,120.85,43.44,371.11,9.38,39.76,64.13,76.71588794,87.95,170.66,38.85,49.95236992,143.9737147,165.8300488,69.03354447,475.2858389,6.74,8.2
삼성전자(주),5930,201212,197506,,0,0,0,제조업,1,16.3465341,73.62144076,19.27912095,21.8796694,-11.05,78.76827024,11.86,-0.12,16.42,382737.7201,15144.68944,26708.71309,178680.7624,8431.84,148.13,40.04,251.46,48.5,51.09,204.4,43.99897957,103.63,163.41,30.91,27.15060034,427.4944763,438.9077729,264.0471555,1469.283958,12.02,8.79
삼성전자(주),5930,201812,197506,,0,0,0,제조업,1,12.46226795,5.115611308,15.5072626,1.751448363,3.23,9.770952162,18.19,-0.72,10.73,35887.42599,6528.340387,9868.26541,25466.88476,8431.84,210.93,43.92,399.39,87.29,70.52,440.42,27.44350061,107.53,178.12,46.63,24.44089397,686.434,685.3879003,331.1692559,2126.193872,9.03,7.92
삼성전자(주),5930,201912,197506,,0,0,0,제조업,1,3.891843546,-50.97770864,6.105771955,-5.484865401,2.18,-52.84415052,9.44,-0.92,4.58,33919.04898,3200.342045,6681.160723,26185.61871,8431.84,242.41,42.15,402.96,40.46,62.67,305.28,22.76011557,89.7,164.94,37.33,32.6850124,425.3020512,703.8987906,327.6937306,2053.83889,8.27,6.68
삼성제약(주),1360,201212,197507,,1,0,1,제조업,1,17.70210027,-79.18805509,3.798197198,7.276098024,0.43,18.79242767,-6.62,6.06,-9.02,4762.78268,-315.4904212,-1120.704257,3496.404182,602.38,154.25,22.11,312.62,0.16,-9.35,-13.37,-29.54345461,35.38,931.32,23.6,89.01867044,48.09142241,138.9956897,5.163793103,444.0431034,4.79,1.86
