회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
세기상사(주),2420,201212,196812,,0,0,0,도매 및 소매업,1,-1.372354307,13.72377416,-1.933043245,1.242112607,2.33,16.91987502,-1.12,-0.61,-1.03,6.45,1.05,14975.68892,-1431.823981,-261.1533102,73205.5585,1390.69,66.46,66.33,5.74,0.0,-0.44,-1.34,-2.32,-4.65,-0.377636816,5.48,2996.18,77.40372671,53.05681818,952.0909091,1.770818182,1156.090909,364.64,1.84
세기상사(주),2420,201712,196812,,0,0,0,도매 및 소매업,1,-1.969144293,767.8950912,-1.792663779,2.99459498,0.0,49.30773473,0.22,-0.86,-1.57,6.45,-17.08,13812.60182,232.8087892,-1010.127775,58094.85957,1061.9,50.4,33.38,1.18,515.77,-0.9,-2.76,-4.37,-9.5,-0.170247967,7.75,33318.61,55.178581,83.42815789,1076.236842,0.250394737,1132.605263,304.52,26.54
세기상사(주),2420,201812,196812,,0,0,0,도매 및 소매업,1,-0.870980238,-464.5867364,-1.408413648,-7.946793428,-15.79,-4.378578737,-0.81,-0.9,-1.64,6.45,-18.75,12714.94288,-848.7899664,-391.5042493,57275.41267,1045.53,50.4,33.38,3.98,734.82,-0.91,-1.48,-2.33,-5.51,-0.239546006,6.82,72004.29,63.97724495,85.64,1171.107914,0.1189375,1333.25,255.9,22.97
세기상사(주),2420,201912,196812,,0,0,0,도매 및 소매업,1,-2.60388828,-172.067002,-3.896591045,-0.691286788,-31.65,-18.07514044,-2.24,-1.08,-1.99,6.45,-23.56,12627.04616,-2208.852168,-1307.984455,55045.24132,1000.9,185.53,183.61,34.82,1398.61,-1.05,-1.81,-2.78,-6.73,-1.925715581,5.51,89271.83,80.09326288,104.262381,1171.107914,0.072619048,1978.714286,290.46,26.49
세명전기공업(주),17510,201112,199112,,0,0,0,제조업,1,4.810906011,24.101574,0.342464727,20.68305334,-8.49,692.7769383,3.83,3.96,4.9,-1.47,65.91,1274.060081,152.3680965,336.0894661,3250.885478,550.18,285.01,238.32,79.9,63.33,308.93,22.86,109.18,14.19,-46.69160416,18.59,375.59,51.41479029,64.35412371,415.8556701,17.13402062,635.257732,8.59,12.66
세명전기공업(주),17510,201212,199112,,0,0,0,제조업,1,5.815133213,68.59562015,6.160169524,-3.901938395,-3.09,-14.41190734,6.18,3.25,4.03,-2.14,67.3,1224.347042,256.8859373,242.2424898,3451.134724,590.23,285.69,248.77,109.81,56.84,732.07,35.03,168.34,23.62,-36.92759595,23.23,496.98,42.35047944,81.63106383,448.3829787,14.79787234,693.6489362,8.44,21.05
세명전기공업(주),17510,201712,199112,,0,0,0,제조업,1,3.214286466,16.29119782,3.880184024,25.46121138,-2.38,16.72360394,4.94,5.33,6.13,-1.53,72.68,1368.999147,240.6448249,239.1068477,4317.919454,763.59,719.94,598.63,292.43,131.31,3543.84,36.16,897.66,16.72,-121.306395,18.68,1023.87,43.87736472,101.4076829,543.0,9.169963415,920.5243902,6.14,19.97
세명전기공업(주),17510,201812,199112,,0,0,0,제조업,1,4.698188801,-1.783982048,5.09727774,-8.885905698,-3.66,-17.05550942,4.66,4.25,4.86,-3.09,74.46,1247.351174,236.3517644,71.71848354,4538.042765,807.61,938.0,721.74,292.43,141.75,3543.84,24.07,606.24,12.46,-216.2676695,24.79,1146.25,45.59061989,100.2856962,404.6202532,8.074911392,1000.367089,3.94,14.88
세명전기공업(주),17510,201912,199112,,0,0,0,제조업,1,3.514051509,-5.056003756,3.156772151,-2.963646012,-5.06,-49.11306914,4.25,2.08,2.38,-2.7,75.09,1210.384101,224.4018103,192.4481831,4681.293454,836.26,845.41,659.39,292.43,107.7,3543.84,19.3,248.98,10.91,-186.0234879,23.57,1283.74,47.07704619,99.45386667,422.0133333,7.129053333,1090.746667,2.86,11.22
세미텍(주),81220,201112,200805,41701.0,0,0,0,제조업,1,6.49887677,-73.52110921,5.298805444,9.043711497,-13.56,-27.61500969,0.95,3.65,11.04,2.1,50.81,11126.80047,80.51154933,2384.249526,2938.313197,487.66,56.21,43.46,24.03,49.82,1.31,38.02,51.16,19.75,-12.74704401,60.66,86.06,49.08081431,72.17402214,127.9354244,83.86220111,174.8736842,35.23,17.26
