회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,총자본증가율,순이익증가율,자기자본증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,총자본투자효율,설비투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,유동자산회전률,당좌자산회전률,재고자산회전률,자기자본구성비율,총자본회전률,타인자본회전률,순운전자본회전률
(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,26.19510961,24.12474967,30.34391494,11.74,18.41861158,12.7,11.6,8.61,9.42,17.4,15.9,-0.29,84.89,20.24,7404.719008,858.747719,633.5605473,5357.861504,1075.2,84.02,14.71,6.72,9.7,17.28,74.79,24.95,33.45089233,185.7798054,1.5,1.8,9.05,54.34303724,0.74,1.62,0.84
(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,2.504565694,-22.7843423,11.19897057,7.0,-7.880603224,11.18,8.56,6.13,8.0,14.12,10.81,-0.95,82.16,17.53,7748.114221,663.0876992,452.3649279,6114.163953,1205.3,69.63,12.07,4.96,7.01,13.74,59.15,19.42,41.96925117,165.4670909,1.47,1.78,8.7,58.95239649,0.72,1.65,0.85
(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,13.59431263,3.928993351,11.16256187,0.73,-6.319362055,11.47,9.74,5.89,6.93,11.9,10.11,-1.49,86.97,14.48,7074.151094,689.1403708,414.6669795,6804.24653,1349.5,73.34,8.23,3.48,6.13,12.74,62.56,22.41,38.70562658,159.2655235,1.57,1.96,8.07,57.69038318,0.6,1.45,0.82
(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,5.512201318,-28.59405568,4.929441837,10.11,-26.51534583,6.59,5.44,3.85,4.66,8.1,6.7,0.53,94.06,11.14,9047.720219,492.0871895,1184.249229,7010.676493,1417.16,74.3,14.28,6.09,8.84,13.54,30.95,19.65,54.55637683,114.8911475,2.08,2.81,7.93,57.37175067,0.71,1.67,1.0
(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,10.70698041,14.93576268,5.879098316,-2.95,22.48387432,7.88,6.1,4.09,5.28,9.42,7.29,0.44,92.04,14.09,9266.932543,565.5841643,352.6441275,7567.081572,1508.53,82.25,11.71,5.29,8.29,14.18,34.11,22.25,52.02996624,163.8898649,1.69,2.43,5.56,54.86979418,0.67,1.52,0.86
(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,-1.174925271,-1.617814206,3.624312421,3.38,10.94655434,8.82,6.06,3.85,5.61,9.98,6.85,0.42,92.06,12.76,9182.562994,556.4340634,1211.818906,7872.084937,1585.77,73.81,12.82,5.44,8.52,14.14,33.07,22.13,51.45748802,149.7325817,1.52,2.15,5.23,57.53443355,0.64,1.45,0.79
(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,-8.784458112,-20.3174487,0.170358502,-0.33,-50.36145424,5.07,5.59,3.23,2.93,4.86,5.36,0.37,95.9,8.35,7929.702827,443.380858,-328.1269936,7694.088948,1643.73,58.27,9.16,3.37,5.57,11.36,25.07,18.77,60.24502511,109.5472459,1.41,1.9,5.41,63.18270675,0.58,1.45,0.75
(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,78.86293087,436.6018391,80.64191091,63.93,-12.88556978,3.33,22.6,13.02,1.92,3.02,20.48,0.5,80.75,17.66,4679.093286,1057.604614,570.9998222,6283.402738,1277.69,56.71,5.64,2.04,4.54,16.76,32.0,37.32,27.54291805,189.48468,1.33,1.96,4.1,63.81112525,0.58,1.58,0.75
(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,-0.382099871,-86.28943106,1.416586295,-1.8,9.329672564,2.59,2.21,1.39,1.64,2.54,2.17,0.35,97.01,15.52,6573.259108,145.0036097,572.6821363,6407.138943,1296.53,53.93,15.72,5.51,8.7,9.64,24.96,15.22,57.1257515,103.31222,1.43,2.14,4.34,64.96328955,0.63,1.77,0.82
(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,8.559551973,259.8358517,5.16566483,-1.43,-30.10362597,2.13,9.33,4.82,1.1,1.72,7.54,0.6,89.67,18.28,5591.716482,521.7749739,-260.4751195,6636.347425,1389.64,58.9,3.74,1.39,2.79,13.08,42.37,26.37,39.734838,142.1464256,1.14,1.73,3.33,62.93234829,0.52,1.43,0.66
