회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,자본집약도_계산,총자본회전률,타인자본회전률,유동자산회전률,재고자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,총자본투자효율,당좌자산회전률
아이텍(주),119830,201912,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.45,-18.93,5.3,118.54,6.73,4954.759463,-872.0874856,1070.343601,5350.690204,955.26,52.71337348,89.71,0.71,17.21,22.02,8.14,16.44,32.86,88.44,45.24,72.55787056,70.94858736,349.1672862,0.44,0.74,1.29,194.27,0.82,51.86,50.3,30.4,22.39,1.3
아이텍(주),119830,202012,201010,,0,0,0,"전문, 과학 및 기술 서비스업",0,4.33,-8.15,4.27,112.6,-3.16,3167.14765,-364.8960904,1050.65209,5476.964804,995.4,53.81493514,85.82,1.4,18.69,35.08,8.63,27.73,41.48,123.38,52.97,64.15525218,79.61363296,535.4794007,0.38,0.81,1.02,62.21,0.52,136.16,134.33,119.1,16.48,1.04
아진산업(주),13310,201512,201512,,0,0,0,제조업,1,34.37,19.88,4.91,93.72,55.75,26806.97578,1402.496828,6529.837381,10282.94673,1717.72,24.91245004,301.41,2.01,21.37,30.94,16.05,21.84,41.17,73.05,39.81,49.8990553,111.3325714,432.5095238,0.81,1.02,3.21,15.67,1.08,51.15,33.02,7.43,29.25,4.03
아진산업(주),13310,201612,201512,,0,0,0,제조업,1,30.96,13.36,2.72,94.06,59.08,39057.13607,1290.554646,6450.931167,10779.5008,1997.32,26.05868608,283.75,2.76,21.51,33.12,15.91,16.39,50.53,93.94,33.21,51.94762943,90.21869565,444.8811594,1.03,1.39,4.46,19.33,1.46,57.57,43.42,7.57,32.23,5.8
아진산업(주),13310,201712,201512,,0,0,0,제조업,1,15.99,7.79,2.8,97.84,61.03,32366.2296,809.5111281,2800.872026,11097.69263,2076.04,28.437802,251.64,1.85,16.61,21.87,11.89,14.09,39.81,76.88,33.06,59.8920298,84.88033873,509.7923417,0.83,1.14,3.75,14.78,1.42,65.9,48.59,6.95,27.89,5.02
아진산업(주),13310,201812,201512,,0,0,0,제조업,1,5.67,-7.17,3.32,103.02,50.28,13350.49351,-376.6741439,3264.843874,5675.624908,1035.13,30.094617,232.29,0.67,17.11,25.6,11.96,16.89,29.83,57.53,27.08,61.64212323,73.40776119,576.8522388,0.74,1.05,3.33,15.25,1.28,59.56,48.62,12.89,19.17,4.26
아진산업(주),13310,201912,201512,,0,0,0,제조업,1,15.03,7.47,3.07,95.87,46.36,12041.2088,377.3199326,1685.039526,5254.043838,999.79,30.74748981,225.23,2.03,17.51,25.81,12.12,18.01,41.13,74.05,34.38,50.21444058,107.8828444,662.7481481,0.73,1.04,2.73,15.67,1.08,70.37,58.57,19.4,23.15,3.31
아진산업(주),13310,202012,201512,,0,0,0,제조업,1,7.26,-0.66,2.76,99.03,47.6,11589.47204,-34.79929878,960.9967079,5240.304415,959.06,32.06951115,211.82,1.18,11.52,16.58,7.82,11.14,41.0,69.61,33.27,52.60730632,105.2665665,619.0257511,0.69,1.0,2.24,12.77,1.0,92.3,75.47,17.79,23.36,2.71
안국약품(주),1540,201112,200006,,0,0,0,제조업,1,9.74,5.9,0.6,92.6,89.82,11192.52067,572.8050443,-704.7394645,9529.195635,1889.69,68.40501292,46.19,11.7,0.92,2.46,0.29,0.37,96.61,1358.43,28.7,66.10215068,74.08133333,354.8,0.83,2.79,1.26,6.49,0.91,255.93,196.71,11.09,22.76,1.56
안국약품(주),1540,201212,200006,,0,0,0,제조업,1,4.85,3.13,0.47,97.12,90.18,12067.36124,306.7725673,986.6741593,9725.554432,1915.4,68.14007747,46.76,5.88,3.12,8.06,0.99,1.18,88.72,1313.41,23.67,79.77040457,68.0287905,354.2397408,0.85,2.68,1.24,5.2,0.89,253.73,192.02,18.75,19.86,1.62
안국약품(주),1540,201312,200006,,0,0,0,제조업,1,8.42,5.45,0.41,94.7,85.39,12123.7999,546.5569309,286.5520609,9800.531606,1943.42,77.4444263,29.12,11.82,20.58,62.9,4.64,4.92,74.68,1000.83,21.12,66.41454901,71.65372141,332.8212058,0.93,3.41,1.39,4.98,1.05,392.94,268.09,15.95,19.94,1.93
안국약품(주),1540,201412,200006,,0,0,0,제조업,1,7.88,-1.11,0.09,95.74,84.32,12989.11727,-112.4402062,99.50016297,9350.751728,1844.41,68.38902572,46.22,18.67,4.35,17.52,1.38,1.47,80.51,738.79,23.14,74.09272754,75.94794355,352.9072581,0.98,3.6,1.48,4.7,1.13,280.88,192.99,12.85,21.7,2.16
안국약품(주),1540,201512,200006,,0,0,0,제조업,1,10.17,7.41,0.14,94.07,83.88,15160.97672,682.1604426,1464.919087,9944.320149,1970.7,66.66183854,50.01,20.51,15.46,41.19,5.15,5.16,98.52,951.49,23.46,68.17064505,75.86445545,314.0907591,1.05,3.23,1.54,6.34,1.17,360.29,295.13,50.21,23.44,2.03
