,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,이자보상배율,CASH FLOW 대 부채비율,설비투자효율,부가가치율,종업원1인당부가가치율_계산,재고자산회전률
134,(주)넥센,5720,201212,198712,,0,0,0,제조업,1,38.10634347,89.65730268,64.76213484,1.464944886,13.78,54.63456172,24.25,0.84,3.53,13662.07287,7716.72592,5.24,15.51,120.43,45.45,61.30263789,7.74
135,(주)넥센,5720,201812,198712,,0,0,0,제조업,1,78.45578966,8.186217779,95.66329653,77.87372983,0.32,95.60086821,6.51,0.51,5.59,1549.442023,2373.028433,12.87,3.13,24.95,30.87,84.56053854,7.6
136,(주)넥센,5720,201912,198712,,0,0,0,제조업,1,7.13475454,28.37439486,7.103740359,68.47788354,-1.37,56.7850055,4.96,0.6,4.38,1989.086821,5657.44613,10.21,11.02,36.86,37.94,87.62517131,6.18
137,(주)넥솔론,110570,201212,201110,42842.0,1,0,1,제조업,1,-6.093071108,-540.5499189,-27.0911252,-35.1056083,-12.37,-358.1124348,-33.34,6.06,0.0,-1233.903531,622.308524,-2.39,8.41,-3.12,-5.26,-15.53354015,5.29
138,(주)넥스지,81970,201212,200708,43384.0,0,0,0,정보통신업,0,5.661927253,-13.92560914,8.975474073,-16.00073721,16.87,-24.05457923,14.28,-3.03,67.36,461.4524306,539.0868056,132.67,71.23,83.64,37.04,71.09474227,5.72
139,(주)넥스턴바이오사이언스,89140,201212,200611,,0,0,0,제조업,1,-7.649173776,-20.99341803,1.74014608,-22.11610543,3.92,-16.66619104,11.4,-1.02,76.3,419.3975862,530.1136207,158.14,77.1,83.44,29.95,120.6009434,2.75
140,(주)넥스트아이,137940,201212,201106,,0,0,0,제조업,1,28.92227495,9.226583415,22.18427438,44.65977984,19.35,35.39273516,18.86,-1.42,67.9,594.6910573,349.4880079,3087.84,60.43,157.64,36.21,120.2975676,14.86
141,(주)넥스트아이,137940,201812,201106,,0,0,0,제조업,1,27.7896885,-158.6065405,57.76310097,46.62829779,5.17,549.5165554,-8.01,1.45,15.45,-90.57006758,14.47280067,5.06,-0.71,86.3,19.95,-34.1202459,13.28
142,(주)넥스트아이,137940,201912,201106,,0,0,0,제조업,1,-1.700367317,56.5532814,-5.825855921,0.883410275,1.64,-55.96990146,-3.45,0.2,-0.32,-39.3497224,-83.81061648,3.95,-4.26,81.46,15.73,-5.990564516,15.71
143,(주)넥슨게임즈,225570,201812,201509,,1,0,1,정보통신업,0,-20.81814264,-309.0241326,-27.0911252,5.250870188,23.71,-188.62391,-33.34,-1.84,-67.54,-523.8908793,-434.5499318,-17.38,-6.47,1159.28,64.5,51.64601966,0.0
144,(주)넵튠,217270,201812,201506,,0,0,0,정보통신업,0,17.5172701,-215.0634944,-16.55153293,-11.46802121,-14.02,-113.2204976,-33.34,0.68,2.99,-1727.280463,-626.0848312,-17.38,-15.1,-17.08,-5.79,-77.36723404,711.59
145,(주)넵튠,217270,201912,201506,,0,0,0,정보통신업,0,-10.75579249,43.69952542,-9.887799384,-0.754853999,-27.47,44.91611296,-33.34,1.13,-25.96,-889.5461329,-254.3027759,-17.38,-18.01,-17.08,-5.79,-77.36723404,711.59
146,(주)노랑풍선,104620,201912,201901,,0,0,0,임대업,1,16.77866214,-136.910745,39.94450706,-17.24116942,-11.66,-158.0675845,-2.16,-0.23,60.37,-347.4516593,1345.251959,-4.42,7.15,77.82,37.31,49.87840868,140.0
147,(주)노루페인트,90350,201212,200607,,0,0,0,제조업,1,7.609619352,-48.11484238,-0.612768377,8.160333103,5.71,17.0725821,1.1,1.59,46.75,224.5362708,-271.5813801,2.38,3.22,30.11,18.55,105.7443056,8.39
148,(주)노루페인트,90350,201812,200607,,0,0,0,제조업,1,2.640583248,-56.72497041,2.934837363,11.48265015,0.76,-18.32727348,2.07,0.79,59.14,622.6862406,683.3573717,4.57,7.9,44.29,20.6,124.2958134,10.46
149,(주)노루페인트,90350,201912,200607,,0,0,0,제조업,1,3.275615713,48.32517887,4.731147048,5.32364832,-7.06,28.65682909,2.92,0.67,60.39,923.6004802,2894.932035,6.28,12.0,45.25,20.04,135.6537585,9.93
150,(주)노루홀딩스,320,201212,197308,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.20055238,11.96757697,2.534777069,6.872745387,0.0,11.8500804,3.23,2.2,86.47,1403.986272,1068.437263,1.2,5.18,39.98,25.69,372.2167532,7.7
151,(주)노루홀딩스,320,201812,197308,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.152338783,-95.70160142,-2.774910345,8.387297388,-13.85,-40.69327513,0.32,0.53,90.33,197.6845302,551.4504206,1.43,4.48,50.13,24.39,321.0219643,10.06
152,(주)노루홀딩스,320,201912,197308,,0,0,0,"전문, 과학 및 기술 서비스업",0,2.049345787,647.5195903,1.063412865,5.777427197,-1.79,144.3504669,2.25,0.54,90.14,1477.73059,4260.707217,3.36,7.37,55.07,25.51,320.5845455,9.73
153,(주)노바렉스,194700,201812,201811,,0,0,0,제조업,1,48.0825677,15.08189506,51.10894392,32.72284488,0.0,14.51989371,8.53,-0.15,53.87,1016.461048,826.7151206,2631.804286,33.17,158.35,30.79,148.7838326,9.78
154,(주)노바렉스,194700,201912,201811,,0,0,0,제조업,1,45.19468524,58.50700031,16.1690353,48.26116042,19.38,43.85710067,9.12,-0.1,60.14,1611.161917,-144.3564563,389.16,4.92,95.84,28.36,166.1505535,8.2
155,(주)노바텍,285490,201812,201811,,0,0,0,제조업,1,78.45578966,72.75174248,95.66329653,21.60771715,0.0,20.94107603,24.25,-0.79,60.55,1484.236838,1369.243322,348.555,117.39,1874.95,41.02,354.6934483,16.89
156,(주)노바텍,285490,201912,201811,,0,0,0,제조업,1,20.19244553,-20.01171645,7.155465017,0.965835117,20.69,-17.1924603,21.02,-0.36,57.62,1095.023701,1044.438393,665.98,87.75,166.75,43.16,255.9674286,12.08
157,(주)노블엠앤비,106520,201212,201207,,0,0,0,제조업,1,74.13018057,42.53532629,95.66329653,46.65134652,0.0,35.51307887,9.23,0.94,44.71,1449.840157,1224.450628,11.2,13.53,92.6,33.6,114.3499615,24.23
158,(주)노터스,278650,201912,201911,,0,0,0,"전문, 과학 및 기술 서비스업",0,40.66986862,18.10932089,95.66329653,23.63806412,0.0,12.47900199,9.89,1.05,36.44,607.1270821,690.9143269,10.34,23.32,60.54,30.44,106.5180583,43.3
159,(주)녹십자,6280,201212,198908,,0,0,0,제조업,1,10.9287231,-3.453054294,8.718693821,5.711924684,9.14,-15.826947,6.85,0.11,9.45,5489.275331,5010.045515,34.94,19.62,75.89,22.31,106.7560124,3.97
160,(주)녹십자,6280,201812,198908,,0,0,0,제조업,1,1.163920875,-39.60629502,1.577854464,3.64631805,2.01,-44.46075074,2.57,0.42,6.46,2930.713955,1233.061151,6.59,6.05,50.21,19.84,109.188117,3.48
161,(주)녹십자,6280,201912,198908,,0,0,0,제조업,1,13.68738027,-132.9560086,5.138483375,2.60937119,0.29,-19.73285801,-0.82,0.53,2.52,-965.8463439,3447.674752,4.19,3.53,42.88,16.86,94.27960784,3.45
