회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률
(주)포메탈,119500,201312,201009,,0,0,0,제조업,1,-0.08053218140691056,-0.004391362646248435,-0.546031746031746,-0.3450084937132877,-0.03536121673003801,-0.07513812154696128,-0.04285714285714301,0.8032786885245905
(주)포메탈,119500,201412,201009,,0,0,0,제조업,1,-0.22825090391749064,0.23126828799514748,-0.5079365079365079,-0.34351441884581,-0.2543726235741445,-0.35248618784530383,-0.03809523809523813,0.7377049180327871
(주)포메탈,119500,201512,201009,,0,0,0,제조업,1,-0.7771097513777712,-0.34830877546991645,-0.5571428571428572,-0.33442716896690516,-0.18403041825095057,-0.3314917127071823,-0.028571428571428602,0.6393442622950822
(주)포메탈,119500,201612,201009,,0,0,0,제조업,1,-0.03635689019719163,3.742938791577716,-0.030158730158730218,-0.31737834205445525,0.020152091254752893,-0.19005524861878448,0.24761904761904768,1.131147540983607
(주)포메탈,119500,202012,201009,,0,0,0,제조업,1,-0.07063021025378005,-0.14962588287820505,-0.22539682539682543,-0.26350295744956637,0.3049429657794677,0.10386740331491716,0.2666666666666667,1.016393442622951
(주)포스코아이씨티,22100,201312,200011,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.21946369043734817,1.3153471399041565,0.484126984126984,-0.45324364335955347,-0.03346007604562734,-0.13370165745856352,-0.12380952380952394,0.39344262295082005
(주)포스코아이씨티,22100,201412,200011,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.7360381272310382,-0.4030758169486038,0.13968253968253966,-0.43433233955750816,0.020912547528517136,-0.04198895027624308,-0.02380952380952394,0.3606557377049184
(주)포스코아이씨티,22100,201512,200011,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.2104815299352756,-0.8263082640733646,-0.4190476190476191,-0.4808123946813664,-0.08098859315589349,-0.13259668508287295,-0.13809523809523813,-0.01639344262295047
(주)포스코아이씨티,22100,201612,200011,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.023913490716774236,3.1515678347201366,0.5126984126984125,-0.4458756029171982,-0.04372623574144481,-0.23977900552486184,0.13333333333333328,0.1803278688524592
(주)포스코아이씨티,22100,202012,200011,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.165287552759746,-0.559885163161504,-0.10158730158730167,-0.45090360829313875,0.20722433460076048,-0.009944751381215453,0.33333333333333326,0.26229508196721335
(주)포스코엠텍,9520,201312,199711,,0,0,0,제조업,1,-0.41436993301508995,-1.565980718522184,-0.9031746031746032,-0.29143328853382816,-0.5539923954372623,-0.734806629834254,0.5333333333333332,1.1803278688524594
