,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,매출액증가율,종업원수증가율,매출액정상영업이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,자기자본구성비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
69,(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,-78.0164777,-69.5639924,-39.04,3.93,4.14,13.26,2.05,97.59,36.60446966,-0.33,10.01,1.39
70,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,3.21981614,-4.34,-6.67,-7.98,-24.01,1.78,108.17,29.73416967,3.02,-2.76,1.68
71,(주)STX,11810,201312,199009,,1,1,1,도매 및 소매업,1,-73.50478949,-60.23602847,-52.8,-39.27,-30.01,0.0,3.01,148.06,-37.96315884,14.21,-92.75,0.83
72,(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,42.93297362,16.27230507,-2.78,2.22,2.63,5.07,1.36,98.75,49.62080671,-3.25,11.18,1.55
73,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,-2.543926198,1.27,1.18,1.19,2.63,1.78,99.86,41.31499211,-1.36,9.11,1.32
74,(주)TCC스틸,2710,201312,198412,,1,0,1,제조업,1,-0.604258967,-0.1006749,-2.51,-1.55,-1.42,-3.59,2.24,104.23,37.83977371,-3.11,7.37,1.27
75,(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,27.48236786,29.67804843,23.23,15.48,13.88,19.05,-0.44,83.57,74.92288749,15.32,39.7,1.41
76,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,30.69573941,10.47,11.03,10.15,14.16,-5.46,84.5,69.14843377,13.42,36.43,1.54
77,(주)가비아,79940,201312,200510,,0,0,0,정보통신업,0,7.023066528,2.342114784,8.06,9.95,7.97,11.03,-3.97,85.09,75.19374547,14.27,35.98,1.42
78,(주)가비아,79940,201412,200510,,0,0,0,정보통신업,0,8.015646473,13.80460418,8.33,10.42,8.83,11.63,-0.32,90.17,76.62531136,14.73,34.68,1.45
79,(주)가비아,79940,201512,200510,,0,0,0,정보통신업,0,6.634083479,13.94540537,6.07,12.38,11.15,14.22,-0.42,89.16,80.02939964,16.88,39.68,1.48
80,(주)가비아,79940,201612,200510,,0,0,0,정보통신업,0,19.71343442,11.48992289,2.29,12.28,10.87,13.94,-0.36,89.16,76.27529165,14.76,36.1,1.4
81,(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,6.030227139,13.73958056,2.61,10.94,9.81,12.98,-0.28,90.55,74.89472539,14.36,36.5,1.32
82,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,10.7646865,1.82,14.13,12.77,16.99,-0.28,86.32,75.40089093,13.97,41.1,1.27
83,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,15.20910244,-1.07,16.01,13.51,19.05,0.03,83.72,67.50787859,14.71,66.57,1.25
84,(주)가비아,79940,202012,200510,,0,0,0,정보통신업,0,30.06717252,13.98321998,7.58,16.89,12.41,18.53,-0.29,84.09,66.61030919,16.74,35.27,1.11
85,(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,3.866238169,-3.683470629,2.14,38.6,18.36,22.43,-3.11,61.71,83.25445203,16.61,28.7,0.8
86,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,2.410138672,1.24,31.24,14.41,17.49,-3.55,69.19,81.60675168,14.87,24.52,0.79
87,(주)강원랜드,35250,201312,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,6.721867694,5.022050284,14.86,28.51,12.92,15.87,-3.03,70.29,81.16268829,14.04,27.01,0.82
88,(주)강원랜드,35250,201412,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,8.803584759,9.935809491,-1.8,34.29,15.85,19.65,-3.0,65.36,80.1557172,13.85,26.79,0.82
89,(주)강원랜드,35250,201512,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,9.352670699,9.166161006,0.81,36.44,16.85,20.88,-2.49,64.66,81.22254906,14.7,27.67,0.74
90,(주)강원랜드,35250,201612,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.808507152,3.844954676,0.25,36.46,16.13,19.79,-2.29,65.73,81.7476154,14.72,26.22,0.69
91,(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,5.194032632,-5.426507031,1.76,33.09,13.0,15.72,-2.33,66.19,83.64840993,12.66,23.89,0.6
92,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,-10.37169597,40.64,29.95,10.23,12.15,-3.05,72.47,84.76890796,9.77,19.7,0.55
93,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,5.703599988,-0.9,32.97,11.56,13.72,-2.74,69.67,83.76879529,8.69,20.46,0.62
94,(주)강원랜드,35250,202012,200309,,0,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-17.94650054,-68.51621463,-27.86,-90.18,-10.68,-12.39,-5.28,173.05,89.16410007,-3.4,0.81,0.22
95,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,111.9973776,0.0,10.91,13.01,32.16,-0.73,89.58,40.45334408,-3.52,21.02,0.8
96,(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,28.7682389,10.83353815,12.12,10.91,11.45,20.44,0.97,91.36,56.02708389,13.19,36.11,1.17
97,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,16.30693493,8.11,3.77,4.72,8.01,0.56,98.48,58.90813703,6.37,25.7,1.44
98,(주)갤럭시아에스엠,11420,201312,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.42142299,-15.64481368,25.0,1.61,1.83,3.15,0.31,103.29,57.10682009,9.74,12.06,1.3
99,(주)갤럭시아에스엠,11420,201412,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.29248395,-5.494311212,26.0,-0.96,-1.02,-1.89,0.7,100.3,51.25561696,4.92,12.1,1.13
100,(주)갤럭시아에스엠,11420,201512,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,51.71372899,42.35269766,47.62,3.36,3.69,5.76,0.24,95.97,72.4140635,1.73,15.59,1.18
101,(주)갤럭시아에스엠,11420,201612,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-14.91168226,-15.76114765,15.05,-7.06,-5.84,-7.85,-0.15,103.2,76.73391108,1.07,9.68,0.94
102,(주)갤럭시아에스엠,11420,201712,198911,,1,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-14.73788188,-29.15850432,17.76,-9.51,-6.55,-8.31,-0.03,117.38,81.26316434,-8.61,-0.32,0.85
103,(주)경농,2100,201112,197706,,0,0,0,제조업,1,-13.26769375,-15.23268875,-4.94,6.33,4.42,5.37,0.81,98.23,82.28281335,8.15,15.24,1.02
104,(주)경농,2100,201212,197706,,0,0,0,제조업,1,55.03623894,12.96196018,-0.65,9.29,4.73,8.39,1.33,91.22,56.32211089,3.27,14.5,0.56
105,(주)경농,2100,201312,197706,,0,0,0,제조업,1,-4.984212111,43.35862475,1.63,9.57,7.15,11.93,1.75,91.18,63.73720619,5.34,20.75,0.88
106,(주)경농,2100,201412,197706,,0,0,0,제조업,1,11.18751832,-4.010922303,9.32,7.77,5.42,8.83,1.45,94.21,59.34722865,5.84,16.63,0.87
107,(주)경농,2100,201512,197706,,0,0,0,제조업,1,11.14413908,4.210224164,1.76,6.17,4.03,7.05,1.45,95.69,55.21484,0.77,14.83,0.78
108,(주)경농,2100,201612,197706,,0,0,0,제조업,1,1.445682244,3.852091789,-3.18,4.49,2.88,5.11,1.2,96.36,57.326409,0.96,15.03,0.75
109,(주)경농,2100,201712,197706,,0,0,0,제조업,1,4.661277896,1.249819233,0.9,4.09,2.57,4.49,1.4,94.07,57.20985976,4.74,16.59,0.75
110,(주)경농,2100,201812,197706,,0,0,0,제조업,1,6.367462053,2.963300803,3.55,6.95,4.26,7.5,1.28,94.89,56.38850863,3.7,16.22,0.73
111,(주)경농,2100,201912,197706,,0,0,0,제조업,1,3.810538371,6.986128122,3.43,3.82,2.39,4.31,1.61,96.84,54.43498937,1.29,15.09,0.75
112,(주)경농,2100,202012,197706,,0,0,0,제조업,1,0.175683612,9.135641085,1.1,5.75,3.85,6.91,1.05,93.19,56.89303809,2.0,17.84,0.78
113,(주)경동나비엔,9450,201112,199308,,0,0,0,제조업,1,12.51894039,10.83480968,6.88,3.64,4.95,7.56,0.07,96.51,63.87064514,7.21,23.05,1.73
114,(주)경동나비엔,9450,201212,199308,,0,0,0,제조업,1,13.87435129,11.06745296,12.16,3.67,4.95,8.1,0.03,97.0,58.67797339,7.2,22.83,1.66
115,(주)경동나비엔,9450,201312,199308,,0,0,0,제조업,1,18.36654987,9.277567312,-7.91,4.78,6.05,10.9,0.13,96.31,52.78794132,6.84,22.33,1.57
116,(주)경동나비엔,9450,201412,199308,,0,0,0,제조업,1,13.21357111,3.575230616,5.68,3.14,3.56,7.14,0.49,97.5,47.30925993,0.95,20.16,1.36
117,(주)경동나비엔,9450,201512,199308,,0,0,0,제조업,1,0.105913485,19.35864525,4.46,4.73,6.03,12.23,0.45,95.78,51.25208175,3.79,26.79,1.5
118,(주)경동나비엔,9450,201612,199308,,0,0,0,제조업,1,6.88172339,13.90965924,14.3,7.86,11.02,20.61,0.24,91.88,55.55778422,12.22,33.01,1.69
119,(주)경동나비엔,9450,201712,199308,,0,0,0,제조업,1,17.20574729,17.38663508,7.03,6.98,10.23,19.29,0.17,94.71,50.92474048,8.08,29.39,1.7
120,(주)경동나비엔,9450,201812,199308,,0,0,0,제조업,1,15.86242814,6.146203681,10.05,5.61,7.51,15.21,0.43,95.33,47.99616573,0.5,28.21,1.44
121,(주)경동나비엔,9450,201912,199308,,0,0,0,제조업,1,4.491554633,6.542777793,8.76,5.79,7.51,15.43,0.46,93.92,49.36676047,5.27,32.03,1.4
122,(주)경동나비엔,9450,202012,199308,,0,0,0,제조업,1,20.47863012,12.8011759,17.99,7.68,9.98,20.67,0.39,94.17,47.38929944,9.27,31.41,1.41
123,(주)경동도시가스,267290,201812,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,9.5721968,84.33079343,0.0,2.66,5.73,13.88,-0.14,97.25,41.17982625,9.0,13.55,2.1
124,(주)경동도시가스,267290,201912,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-3.632435028,-11.4422898,0.36,1.97,3.67,8.5,-0.17,97.76,45.28163749,10.31,12.78,1.85
125,(주)경동도시가스,267290,202012,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-6.712179241,-23.60830514,0.0,1.67,2.5,5.21,-0.11,97.73,50.97885065,2.45,12.82,1.67
126,(주)경방,50,201112,195603,,0,0,0,도매 및 소매업,1,-5.543875393,4.310769767,10.63,6.37,1.66,3.51,5.43,100.42,46.56459816,-0.15,6.29,0.84
127,(주)경방,50,201212,195603,,0,0,0,도매 및 소매업,1,-1.27812549,-4.169505485,-2.36,2.17,0.54,1.16,5.93,102.99,46.49330638,0.12,6.05,0.8
128,(주)경방,50,201312,195603,,0,0,0,도매 및 소매업,1,-2.850161043,4.067118968,16.75,10.38,2.74,5.73,3.97,94.61,49.0704613,2.66,8.41,1.32
129,(주)경방,50,201412,195603,,0,0,0,도매 및 소매업,1,0.374115468,-5.228710233,0.44,9.31,2.36,4.77,3.74,95.76,49.75020955,2.88,8.07,0.88
130,(주)경방,50,201512,195603,,0,0,0,도매 및 소매업,1,1.29062828,8.689663442,-9.43,10.89,2.97,5.95,2.75,93.58,50.27537864,2.42,8.88,0.89
131,(주)경방,50,201612,195603,,0,0,0,도매 및 소매업,1,-1.268906599,5.541193338,-6.67,11.51,3.32,6.47,2.0,91.56,52.21888592,4.14,9.66,1.36
132,(주)경방,50,201712,195603,,0,0,0,도매 및 소매업,1,-2.140601305,-4.412897886,-12.37,11.73,3.28,6.14,1.78,90.38,54.87526651,4.94,9.88,1.08
133,(주)경방,50,201812,195603,,0,0,0,도매 및 소매업,1,2.178154161,-2.591495439,-8.15,11.66,3.18,5.82,2.26,92.39,54.44563257,2.69,7.53,1.01
134,(주)경방,50,201912,195603,,0,0,0,도매 및 소매업,1,5.296514762,-2.147411809,-43.94,9.31,2.4,4.42,2.52,85.63,54.0986512,2.88,9.28,0.93
135,(주)경방,50,202012,195603,,0,0,0,도매 및 소매업,1,-7.721394842,-4.26510078,-47.88,6.64,1.66,2.95,1.75,93.22,58.65511938,3.97,7.56,0.77
136,(주)경보제약,214390,201512,201506,,0,0,0,제조업,1,16.33824365,4.860010275,0.0,14.4,14.1,26.82,0.49,85.9,62.82578158,5.19,32.91,1.01
137,(주)경보제약,214390,201612,201506,,0,0,0,제조업,1,4.218930942,4.883114911,4.52,8.35,7.81,12.37,0.5,91.8,63.51472136,7.26,30.44,1.08
138,(주)경보제약,214390,201712,201506,,0,0,0,제조업,1,0.556317544,2.643016777,-1.44,12.83,12.03,18.15,0.51,87.62,69.07307616,12.48,34.32,1.11
139,(주)경보제약,214390,201812,201506,,0,0,0,제조업,1,8.177694708,5.051733585,9.76,8.58,8.1,11.89,0.44,91.35,67.23678035,5.57,31.09,1.09
140,(주)경보제약,214390,201912,201506,,0,0,0,제조업,1,7.30689031,-4.786547569,9.78,3.23,2.7,4.15,0.67,96.36,62.72203662,4.74,26.68,0.94
141,(주)경보제약,214390,202012,201506,,0,0,0,제조업,1,6.485008108,12.29950171,1.82,4.02,3.53,5.68,0.57,93.66,61.62426993,8.78,28.77,0.98
