회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율
(주)타이거일렉,219130,201712,201509,,0,0,0,제조업,1,0.6374271629286912,3.4583375649102175,0.355095541401274,-0.4285714285714285,0.16988220845414453,2.2544611351950796,0.5848394928513623,1.188305792627565
(주)타이거일렉,219130,201812,201509,,0,0,0,제조업,1,-0.21800149632501414,-0.5128660166341841,-0.17515923566878985,-0.422077922077922,-0.026533648974504796,3.418691400342776,0.9851632047477744,0.9783911385509351
(주)타이거일렉,219130,201912,201509,,0,0,0,제조업,1,-0.07971898704425913,-0.3862748312165803,-0.36464968152866245,-0.3701298701298701,-0.0952849802206174,0.44298820445609427,0.583760453196655,0.4285454875612855
(주)탑엔지니어링,65130,201112,200301,,0,0,0,제조업,1,0.3775018818489095,-0.1240331770749027,0.19665605095541408,-0.961038961038961,-0.018256576277956987,-0.01270289343683844,0.041003506878877785,-0.811331033230434
(주)탑엔지니어링,65130,201212,200301,,0,0,0,제조업,1,-2.0624290954045574,-0.845340957907623,-0.4729299363057325,-0.006493506493506463,-0.1610217410752524,-0.011089827603589085,0.8729430806582141,-0.6464499727619394
(주)탑엔지니어링,65130,201712,200301,,0,0,0,제조업,1,0.17086322243019217,-0.14226233743904224,-0.07643312101910829,-0.12987012987012986,0.36975392774591875,-0.2707934267567295,-0.022659832748853515,-0.6791356455420374
(주)탑엔지니어링,65130,201812,200301,,0,0,0,제조업,1,3.694470765352979,1.3990629871279259,0.2969745222929937,-0.16883116883116883,1.2839720281447722,0.0606916019760056,-0.1942271378473159,0.41837661158525524
(주)탑엔지니어링,65130,201912,200301,,0,0,0,제조업,1,1.6931406122056147,1.2236283810539925,1.0238853503184715,-0.1818181818181818,2.903208455903643,0.394999495916927,-0.19099001888319395,1.1585255129834755
(주)태경비케이,14580,201112,199103,,0,0,0,제조업,1,-0.5857644017191568,-0.279756073550885,0.24920382165605104,-0.10389610389610388,2.7897544699686776,0.2994253452969049,0.49420016185594823,0.026148538224078404
(주)태경비케이,14580,201212,199103,,0,0,0,제조업,1,-0.3246531621634076,-0.4573744236012185,-0.16958598726114651,-0.14935064935064934,2.1586210273486537,0.2010283294686964,0.35716212570811984,0.24042128200472118
