,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,유보율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,설비투자효율,노동소득분배율,종업원1인당부가가치율_계산,순운전자본회전률,유동비율,당좌자산회전률
74,(주)TCC스틸,2710,201312,198412,,1,0,1,제조업,1,-3.59,-8.85,2.24,41.41,-1108.657222,-1623.335444,1064.71,164.27,-0.59,-5.0,-3.38,26.42,100.605043,119.2485209,1.27,141.27,4.54
75,(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,19.05,18.06,-0.44,77.31,550.8066155,757.7789304,351.5,33.47,22.28,61.1,18.83,116.43,48.11902948,78.62586387,1.41,207.38,2.03
76,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,14.16,21.3,-2.91,0.0,706.3112773,991.6991134,447.19,44.62,15.43,43.49,16.56,82.09,52.29388203,82.08246445,1.54,215.35,2.28
77,(주)가비아,79940,201312,200510,,0,0,0,정보통신업,0,11.03,15.65,-2.91,79.33,712.8028079,960.8388291,534.07,32.99,15.81,57.53,18.42,88.61,51.85906385,73.94438596,1.42,249.42,2.05
78,(주)가비아,79940,201412,200510,,0,0,0,정보통신업,0,11.63,8.18,-0.32,79.74,498.8840608,1198.581837,582.67,30.51,24.59,63.03,18.05,92.13,55.4201535,78.66740891,1.45,258.29,2.03
79,(주)가비아,79940,201512,200510,,0,0,0,정보통신업,0,14.22,11.99,-0.42,81.04,630.2068665,1422.749452,664.04,24.95,64.83,84.54,19.36,112.95,54.92115711,85.64938931,1.48,395.42,1.95
80,(주)가비아,79940,201612,200510,,0,0,0,정보통신업,0,13.94,10.68,-0.36,82.65,751.9150861,1320.317762,699.68,31.1,83.64,62.2,18.17,105.07,58.27443668,86.31679104,1.4,295.5,1.84
81,(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,12.98,8.88,-0.28,83.08,714.3793398,1510.443358,745.49,33.52,53.72,57.21,16.48,108.49,59.9664236,82.95625455,1.32,224.87,1.88
82,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,16.99,12.58,-0.28,84.14,1133.348488,1615.753589,853.3,32.62,62.3,56.79,16.44,137.57,57.61979066,88.59203571,1.27,262.0,1.83
83,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,19.05,15.73,0.03,85.34,1559.019108,2729.863301,1007.26,48.13,34.25,45.28,19.83,209.21,61.72431114,106.8301805,1.25,201.58,1.85
84,(주)가비아,79940,202012,200510,,0,0,0,정보통신업,0,18.53,14.99,-0.29,86.22,1754.749815,3700.06488,1231.0,50.13,58.63,50.12,25.74,87.57,48.46402049,104.7991611,1.11,244.16,1.65
85,(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,22.43,17.5,-2.91,17.36,1781.688427,1953.009173,2166.21,20.11,1142.61,99.17,28.6,64.84,32.49743563,249.0287059,0.8,263.97,1.13
86,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,17.49,13.23,-2.91,12.44,1431.374555,2087.214618,2280.19,22.54,565.68,80.84,28.6,53.88,39.58936737,217.9085835,0.79,224.82,1.11
87,(주)강원랜드,35250,201312,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,15.87,12.17,-2.91,11.69,1391.023892,1983.762434,2416.09,23.21,1421.81,74.52,28.6,63.73,39.79571704,225.4613809,0.82,189.47,1.21
88,(주)강원랜드,35250,201412,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,19.65,13.76,-2.91,12.46,1679.665926,2385.771469,2591.54,24.76,2073.72,69.79,28.6,68.77,32.30880889,250.6071039,0.82,219.66,1.22
89,(주)강원랜드,35250,201512,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.88,15.49,-2.49,15.17,2064.26133,2687.577041,2864.9,23.12,2623.81,78.31,28.6,79.18,29.3702341,276.6015608,0.74,263.38,1.05
90,(주)강원랜드,35250,201612,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,19.79,14.55,-2.29,13.99,2124.579773,2788.096929,3103.31,22.33,836.02,80.65,28.6,82.57,29.9242168,286.0012565,0.69,251.71,0.95
91,(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,15.72,12.96,-2.33,12.83,2045.150437,2164.386827,3335.69,19.55,2241.82,77.4,28.6,82.84,32.17510842,273.9177633,0.6,317.65,0.81
92,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,12.15,8.39,-2.91,7.99,1389.343677,1701.027585,3415.74,17.97,1834.66,64.16,28.6,64.76,39.7815375,162.9483288,0.55,276.57,0.73
93,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,13.72,9.16,-2.74,8.46,1564.23815,1906.459385,3538.18,19.38,255.56,53.57,25.39,68.09,32.12003965,176.1451739,0.62,288.36,0.84
94,(주)강원랜드,35250,202012,200309,,0,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-12.39,-7.92,-2.91,0.0,-1289.513224,-1992.098136,3098.14,12.15,-21.04,-19.54,-13.66,2.23,170.9206997,1.955149475,0.34,454.03,0.56
95,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,32.16,24.85,-0.73,54.5,708.508114,-248.294482,581.28,147.2,58.37,-5.92,-2.95,445.26,39.28224006,185.7486139,0.8,151.93,1.39
96,(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,20.44,12.95,0.97,-7.82,148.2724051,303.2955561,143.1,78.49,6.31,30.0,12.57,1880.24,26.76776547,403.7189189,1.17,157.4,1.92
97,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,8.01,1.49,0.56,-6.74,19.82543033,142.7687527,149.31,69.76,3.79,15.5,5.09,333.76,38.24126393,243.02775,1.44,184.17,2.23
98,(주)갤럭시아에스엠,11420,201312,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,3.15,-7.07,0.31,-13.86,-88.50843301,230.7145641,119.07,75.11,1.9,22.7,7.89,146.82,33.98484783,78.5672,1.3,147.37,2.09
99,(주)갤럭시아에스엠,11420,201412,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-1.89,-1.14,0.7,-17.29,-13.00909612,-3.588241697,136.52,95.1,-0.88,10.1,5.08,179.31,59.33870974,53.96857143,1.13,149.66,1.91
100,(주)갤럭시아에스엠,11420,201512,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,5.76,5.11,0.24,-2.9,67.6514368,88.99084141,261.09,38.09,5.69,6.28,1.91,368.5,57.8137881,109.8562366,1.18,263.29,1.77
101,(주)갤럭시아에스엠,11420,201612,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-7.85,-3.3,-0.15,-9.03,-56.72015217,-43.39598726,225.57,30.32,-18.76,4.62,1.19,218.57,109.0787118,46.85299065,0.94,304.3,1.28
102,(주)갤럭시아에스엠,11420,201712,198911,,1,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-8.31,-13.83,-0.03,-24.57,-214.1493371,-268.2155167,193.97,23.06,-21.04,-19.54,-11.51,-17.67,170.9206997,-2.18984127,0.85,328.78,1.12
103,(주)경농,2100,201112,197706,,0,0,0,제조업,1,5.37,0.36,0.81,1.98,23.49575299,652.9193357,1278.16,21.53,4.52,46.0,11.68,53.46,67.52361481,93.53707792,1.02,379.4,5.02
104,(주)경농,2100,201212,197706,,0,0,0,제조업,1,8.39,7.43,1.33,5.24,475.3115355,405.5431212,1319.33,77.55,5.6,7.48,6.42,42.13,47.92215548,106.6718627,0.56,138.53,3.43
105,(주)경농,2100,201312,197706,,0,0,0,제조업,1,11.93,8.89,1.75,10.92,643.113119,855.7778418,1409.85,56.89,4.81,14.74,6.97,56.85,46.99232713,136.6358199,0.88,178.73,5.56
106,(주)경농,2100,201412,197706,,0,0,0,제조업,1,8.83,4.73,1.45,15.14,327.2813397,677.9807992,1449.95,68.5,4.53,14.38,8.83,43.44,55.70309917,113.3140882,0.87,154.43,5.24
