,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,노동소득분배율
70,(주)경인양행,12610,201512,199510,,0,0,0,제조업,1,4.359938075,1.456142257,-5.057133496,6.59,-52.33055511,1.15,2.1,0.57,65.1,161.62,9.48,4.52,71.74803441
71,(주)경인양행,12610,201612,199510,,0,0,0,제조업,1,5.390803565,3.563893681,4.449755427,3.62,57.44224512,2.04,3.15,0.57,64.91,160.17,8.99,4.45,68.22951778
72,(주)경인양행,12610,202012,199510,,0,0,0,제조업,1,6.994805508,-3.812182647,-8.21909473,-0.16,-85.69374175,-1.55,0.69,1.37,62.14,121.69,11.08,9.31,77.55695476
73,(주)고려시멘트,198440,202012,201408,,0,0,0,제조업,1,-9.208480525,4.428446221,-1.042091709,-2.06,110.7370771,3.67,3.53,-0.06,44.75,367.97,23.56,7.71,43.45712631
74,(주)고영테크놀러지,98460,201312,200806,,0,0,0,제조업,1,17.02885088,17.88767162,3.765764338,10.89,-21.77766971,12.42,14.96,-0.54,72.49,532.19,54.53,11.03,43.85851178
75,(주)고영테크놀러지,98460,201412,200806,,0,0,0,제조업,1,17.17120326,17.81499253,27.64669126,26.79,67.85653007,16.84,20.35,-0.45,77.83,530.61,75.11,13.61,35.95612782
76,(주)고영테크놀러지,98460,201512,200806,,0,0,0,제조업,1,12.09222818,13.50228739,2.145265465,8.1,-16.71342931,15.66,15.6,-0.37,82.92,579.96,77.01,14.45,40.52086437
77,(주)고영테크놀러지,98460,201612,200806,,0,0,0,제조업,1,22.827745,19.61727026,17.74408757,2.61,41.51413204,16.79,18.75,-0.25,84.9,563.7,60.5,13.33,37.15316278
78,(주)고영테크놀러지,98460,202012,200806,,0,0,0,제조업,1,-0.951522762,0.980666243,-19.14458643,-8.25,-52.46840868,3.01,5.21,-0.51,85.04,620.36,59.24,18.65,58.11648086
79,(주)골드앤에스,35290,201312,199912,,1,0,1,정보통신업,0,-0.978046339,-26.87745177,-9.889194095,-27.39,-178.5695164,-16.92,-9.98,4.03,-62.5,52.99,2.97,2.88,163.5949843
