,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,자기자본회전률,순운전자본회전률
51,(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,8.559551973,5.16566483,-14.93235868,-1.43,-30.10362597,1.1,0.6,521.7749739,141.82,88.93,58.9,3.74,2.79,13.08,0.808375431,0.66
52,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,-3.661690281,-8.657168282,2.22,-183.0175364,-2.49,0.15,-586.5906277,151.52,135.46,72.18,-14.12,-8.38,-1.83,1.216212802,0.91
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,14.14136286,18.11849479,5.98,143.5955237,5.32,-0.27,1282.740819,182.56,162.88,59.73,4.27,2.03,-1.34,1.341704598,0.94
54,(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,6.445735983,8.105755924,-12.98465446,7.18,11.0463951,5.56,-0.56,2285.190495,197.1,177.76,57.28,20.6,11.65,11.6,1.052509861,0.77
55,(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,-2.298373815,4.818130776,20.91940132,4.31,-18.01169455,4.47,-0.31,1589.960466,222.54,199.37,46.6,-2.4,-0.96,10.48,1.196159345,0.93
56,(주)SNT에너지,100840,201512,200802,,0,0,0,제조업,1,3.837053075,11.40395236,7.146191304,6.42,146.181537,10.93,-0.18,3815.301671,286.28,269.65,36.64,-13.31,-4.34,16.98,1.184635276,1.05
57,(주)SNT에너지,100840,201612,200802,,0,0,0,제조업,1,10.07167717,-0.691604331,-2.308449238,-6.03,-96.47637586,0.36,-0.09,234.274227,207.24,200.61,51.45,15.74,7.32,6.05,1.101865473,0.9
58,(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-13.72696557,1.748375357,-27.54850128,-10.55,594.6717064,5.92,-0.1,646.7223611,351.97,347.24,28.42,22.15,8.0,7.56,0.794155467,0.69
59,(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.886024318,7.591926828,11.02629503,0.0,0.091018683,5.79,-0.01,5842.934158,174.28,128.31,62.08,9.54,4.66,14.88,1.269135447,1.06
60,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,0.535114109,0.294729128,0.0,-28.88774228,4.08,-0.11,4238.56571,184.89,132.96,57.43,9.53,4.32,13.94,1.269479377,1.05
