,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
31,(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.886024318,7.591926828,11.02629503,0.0,0.091018683,4.19,5.79,9.31,-0.01,70.91,128.31,16.87,9.54,4.66,-88.28790698
32,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,0.535114109,0.294729128,0.0,-28.88774228,3.01,4.08,6.52,-0.11,71.43,132.96,20.28,9.53,4.32,671.8788142
33,(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.895851587,-0.757692402,-1.921580134,-12.5,-16.11155647,1.19,2.78,3.98,-0.3,72.48,216.54,178.66,19.79,8.22,629.3057143
34,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,-1.054283563,-7.084474287,42.86,19.81125792,3.46,3.41,4.81,-0.48,73.84,248.36,59.79,19.09,8.32,671.8788142
35,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,8.159352782,7.907406791,0.0,73.81535328,5.72,5.81,8.07,-0.61,75.51,255.6,184.05,17.86,7.21,671.8788142
36,(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,-25.32298956,-36.05506906,-39.06662204,-31.65,-45.16695439,3.93,4.14,13.26,2.05,39.81,54.61,1.66,-0.52,-0.29,604.1530612
37,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,-21.36301621,3.21981614,-4.34,-275.105282,-9.53,-7.98,-24.01,1.78,37.31,55.08,-3.12,4.3,2.49,245.7466667
38,(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,42.93297362,41.81268227,16.27230507,-2.78,-27.43072417,1.05,2.63,5.07,1.36,45.48,62.71,1.41,-6.46,-2.87,150.4366667
39,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,0.246987287,-2.543926198,1.27,-48.04523837,0.02,1.19,2.63,1.78,43.11,61.44,0.57,-2.31,-1.48,138.7078683
40,(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,27.48236786,36.62566069,29.67804843,23.23,23.63744105,11.9,13.88,19.05,-0.44,77.31,207.27,22.28,61.1,18.83,78.62586387
