회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,자기자본순이익률,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,순운전자본회전률
(주)보락,2760,201512,198911,,0,0,0,제조업,1,-0.20535479420415303,0.6398801446989743,-0.29846153846153844,-0.6240234375,0.8461981566820276,0.49905989793177546,0.435483870967742
(주)보락,2760,201612,198911,,0,0,0,제조업,1,0.5145967951164833,0.6421150045720548,-0.07846153846153843,0.1337890625,1.0673963133640554,0.6193929626645177,0.709677419354839
(주)보락,2760,201712,198911,,0,0,0,제조업,1,-0.49103458589413884,-0.43203075453352846,-0.3123076923076923,-0.30078125,0.8446620583717357,0.3088906795594949,0.4516129032258065
(주)보락,2760,202012,198911,,0,0,0,제조업,1,0.09162967584155488,-0.8819001435287146,-0.6476923076923077,-0.49414062499999994,0.1349846390168971,-0.18963201719043785,0.870967741935484
(주)보령,3850,201112,198810,,0,0,0,제조업,1,-0.08170323620932826,-0.5030425021451016,-0.09538461538461533,-0.142578125,-0.014784946236559132,-0.09938221864088098,0.20967741935483888
(주)보령,3850,201312,198810,,0,0,0,제조업,1,0.038046977308129726,5.226924668578848,0.40153846153846157,0.3203125,0.30856374807987713,0.09078699973139938,0.24193548387096797
(주)보령,3850,201412,198810,,0,0,0,제조업,1,0.2732789475774641,0.29375216369004586,0.6800000000000002,0.6679687500000001,0.16340245775729642,-0.11334944936878866,0.5000000000000001
(주)보령,3850,201512,198810,,0,0,0,제조업,1,0.3585386839509942,0.12630898103221022,0.693846153846154,0.48046875000000006,-0.1522657450076805,-0.325006715014773,0.41935483870967744
(주)보령,3850,201612,198810,,0,0,0,제조업,1,-0.10065680804911138,-0.24214310403657863,0.2415384615384616,-0.3017578125,-0.277457757296467,-0.3314531291968842,-0.12903225806451588
(주)보령,3850,201712,198810,,0,0,0,제조업,1,-0.03541912795959423,-1.0862306160868374,-0.6492307692307692,1.6357421875,-1.1380568356374807,-1.296266451786194,0.1612903225806453
(주)보령,3850,202012,198810,,0,0,0,제조업,1,0.1468783448977466,0.009745939514064153,0.37692307692307697,0.25976562499999994,0.04397081413210444,0.19715283373623418,0.41935483870967744
(주)보루네오가구,4740,201112,198809,42921.0,1,0,1,제조업,1,-0.18662980431290324,0.592484365533135,-0.5507692307692307,-0.6611328125,-0.5827572964669739,-0.7579908675799085,0.1612903225806453
