,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
7086,에스지에이(주),49470,201512,200110,,0,0,0,정보통신업,0,51.62388341,79.2882481,23.80002682,-19.38,18.18426142,0.62,5.21,-3.14,1.23,211.89,180.09,66.0,-3.74,-2.58,25.70023256
7087,에스지에이(주),49470,201612,200110,,0,0,0,정보통신업,0,30.76238964,13.51179996,51.59584775,44.44,-28.51461168,2.09,2.68,-0.05,1.68,185.18,160.02,91.23,-4.2,-3.0,31.4053
7088,에스지에이(주),49470,201712,200110,,0,0,0,정보통신업,0,-10.12830046,-7.909336294,-10.23337344,-13.5,-218.3257674,-18.12,-2.94,-33.42,1.92,210.43,179.96,86.62,-2.84,-1.98,-10.14190751
7089,에스지에이솔루션즈(주),184230,201612,201312,,0,0,0,정보통신업,0,78.12143123,43.93684581,85.86773437,0.0,23.52448296,6.39,7.12,7.81,2.28,204.76,172.67,128.13,0.35,0.37,61.53448276
7090,에스지에이솔루션즈(주),184230,201712,201312,,0,0,0,정보통신업,0,-11.55025111,22.58164722,11.70619026,4.83,-24.99422724,4.01,4.36,4.6,2.16,250.02,206.64,64.61,-5.25,-3.09,46.85460526
7091,에스지에이솔루션즈(주),184230,202012,201312,,0,0,0,정보통신업,0,-3.259893267,47.28397153,-10.01723024,7.94,318.1404712,12.83,8.25,27.09,3.27,128.45,124.01,90.7,10.24,5.57,60.64382353
7092,에스지이(주),255220,202012,201801,,0,0,0,제조업,1,2.058295653,-1.419368681,-1.890129863,5.59,-58.89256347,-1.09,2.28,-1.1,3.74,106.79,103.77,225.15,3.51,4.35,115.0095238
7093,에스케이가스(주),18670,201112,199708,,0,0,0,도매 및 소매업,1,15.12388961,21.60405984,12.28308095,6.35,56.4492123,1.49,8.24,14.04,-0.06,96.37,68.35,148.72,5.0,0.84,403.3528731
7094,에스케이가스(주),18670,201312,199708,,0,0,0,도매 및 소매업,1,-9.125961246,14.54867196,-12.01913107,1.75,-12.32428491,1.54,4.47,9.78,0.03,151.45,119.89,134.93,14.84,3.36,680.751875
7095,에스케이가스(주),18670,201412,199708,,0,0,0,도매 및 소매업,1,26.993865,25.67524264,-10.92257958,2.06,-2.573068806,1.67,4.03,8.47,-0.03,139.96,104.8,137.39,7.1,2.31,677.8452525
7096,에스케이가스(주),18670,201512,199708,,0,0,0,도매 및 소매업,1,22.23318483,15.75294217,-31.37024462,9.09,-22.26875536,1.8,2.52,5.79,0.43,189.57,112.06,150.68,1.63,0.98,526.2410494
7097,에스케이가스(주),18670,201612,199708,,0,0,0,도매 및 소매업,1,-0.221467539,5.145972782,28.82463807,7.1,93.31049482,3.58,4.44,13.12,0.44,124.13,99.46,137.88,-5.67,-2.54,680.751875
7098,에스케이가스(주),18670,201712,199708,,0,0,0,도매 및 소매업,1,6.898495014,4.215846494,27.30765005,10.09,-30.61545146,2.24,2.98,7.08,0.37,138.41,102.37,144.01,-4.2,-1.61,545.0780628
7099,에스케이가스(주),18670,202012,199708,,0,0,0,도매 및 소매업,1,10.20236463,14.32385708,-10.52011558,10.28,0.320977577,6.01,4.43,14.91,0.76,160.47,134.99,136.95,10.31,6.08,680.751875
7100,에스케이네트웍스(주),1740,201112,197706,,0,0,0,도매 및 소매업,1,21.24677259,2.933740393,13.68590962,6.05,39.31769379,0.51,3.33,4.57,0.38,92.05,68.49,239.4,5.23,1.49,154.7488152
7101,에스케이네트웍스(주),1740,201312,197706,,0,0,0,도매 및 소매업,1,-16.44571716,-16.34796658,-7.016669705,-6.42,-4.267939887,-2.28,2.47,-20.17,0.32,91.78,71.65,246.16,3.92,0.95,-75.62221774
7102,에스케이네트웍스(주),1740,201412,197706,,0,0,0,도매 및 소매업,1,-4.21950334,-1.826132286,-13.73337262,-9.83,-16.39456584,0.14,2.32,1.26,0.33,94.35,73.51,237.72,1.7,0.45,118.2533354
7103,에스케이네트웍스(주),1740,201512,197706,,0,0,0,도매 및 소매업,1,-3.545767983,0.045382238,-9.158430291,-3.85,-4.850012041,0.36,2.29,2.91,0.35,92.06,65.27,225.6,-1.01,-0.28,154.4765658
7104,에스케이네트웍스(주),1740,201612,197706,,0,0,0,도매 및 소매업,1,5.085418138,-4.518927946,-9.326364396,-4.25,-12.65300104,-0.44,1.99,-3.3,0.35,78.45,65.83,258.35,1.08,0.36,137.6248174
7105,에스케이네트웍스(주),1740,201712,197706,,0,0,0,도매 및 소매업,1,-16.15885729,-2.371010721,-17.635411,-26.75,-14.66525742,0.23,1.8,1.39,0.36,81.36,61.55,207.74,-6.35,-2.04,188.8539982
7106,에스케이네트웍스(주),1740,202012,197706,,0,0,0,도매 및 소매업,1,-13.46602922,-2.602881332,-18.60187954,-17.62,13.32790842,0.4,1.31,1.63,0.98,70.87,55.76,290.76,2.42,1.49,302.1886999
7107,에스케이디스커버리(주),6120,201112,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,11.1949184,19.50689025,11.59007264,6.99,29.42971562,2.15,6.03,13.26,0.26,110.44,76.6,148.98,0.38,0.1,110.8395477
7108,에스케이디스커버리(주),6120,201312,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.676581318,2.608007734,-9.863823837,-5.74,1.78782815,0.09,3.94,-2.41,0.46,134.59,100.11,172.51,7.62,2.84,116.5626579
7109,에스케이디스커버리(주),6120,201412,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,14.28928815,12.47825081,-11.78387726,1.25,-22.90698908,0.19,2.87,-2.01,0.51,133.91,91.54,176.89,3.37,1.64,107.6142608
7110,에스케이디스커버리(주),6120,201512,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,18.7266422,28.89584647,-27.65706946,-5.73,-23.61441044,1.79,1.88,4.08,1.12,171.09,107.52,155.05,1.51,1.15,212.2415564
7111,에스케이디스커버리(주),6120,201612,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.74395197,2.964327776,23.85362137,1.01,101.627703,2.69,3.51,5.35,0.83,116.22,87.39,145.86,-1.26,-0.75,125.9756375
7112,에스케이디스커버리(주),6120,201712,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,-23.18877172,-20.20315448,3.380634828,-31.52,-52.34276402,11.89,1.9,28.33,0.47,139.6,103.18,136.66,-2.81,-1.21,680.751875
7113,에스케이디스커버리(주),6120,202012,197606,,0,0,0,"전문, 과학 및 기술 서비스업",0,12.4302812,12.61816428,-9.98997841,17.24,-0.563941905,7.86,3.26,14.71,0.91,168.9,142.18,114.86,6.34,4.21,680.751875
7114,에스케이디앤디(주),210980,201512,201506,,0,0,0,부동산업,1,78.12143123,106.7705723,32.27791927,0.0,6.815101545,8.72,4.71,13.59,0.84,889.32,227.18,197.06,-19.47,-14.6,527.7967391
7115,에스케이디앤디(주),210980,201612,201506,,0,0,0,부동산업,1,35.25231002,12.32003543,19.48806204,3.26,50.19219229,9.53,4.55,13.99,2.12,166.87,111.13,257.71,-19.47,-14.6,680.751875
7116,에스케이디앤디(주),210980,201712,201506,,0,0,0,부동산업,1,-7.840641274,-9.435508298,19.69622927,44.44,-41.42043423,19.65,2.41,23.14,1.01,228.08,123.75,264.01,-19.47,-14.6,680.751875
7117,에스케이디앤디(주),210980,202012,201506,,0,0,0,부동산업,1,22.58484346,47.04907316,53.88653955,7.73,69.96244593,9.45,8.99,14.88,4.58,142.61,54.05,222.2,3.85,6.51,680.751875
7118,에스케이렌터카(주),68400,201312,201207,,0,0,0,임대업,1,15.17089367,12.31671402,18.52666355,5.65,-5.255831341,3.79,6.07,10.02,4.75,50.76,32.91,313.09,-8.52,-10.66,663.7008556
7119,에스케이렌터카(주),68400,201412,201207,,0,0,0,임대업,1,12.91366188,9.746190817,19.81726552,10.7,-1.792667971,3.34,5.23,9.54,3.89,50.76,32.91,325.02,-9.15,-10.89,654.5206039
