,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률
3540,태광산업(주),3240,201912,197512,,0,0,0,제조업,1,-0.514846457251013,-0.08318555750971598,0.047775947281713346,-0.2922077922077922,11.313521373728783,13.140001190915845,1.1633780584056825,0.7604856512141279,-0.08691043985161637,0.890021091280775,2.035375623328115,0.33632286995515703,-0.04687500000000004
3541,태림페이퍼(주),19300,201212,199508,42593.0,0,0,0,제조업,1,3.714848436545574,2.3732616795539343,1.017298187808896,1.435064935064935,-0.022430280878215983,0.6921714896676906,0.19771112865035517,0.6556291390728477,-0.03179650238473776,1.6048143015238812,0.7892009293515212,-0.4304932735426011,0.42187499999999967
3542,태림포장(주),11280,201212,198812,,0,0,0,제조업,1,-0.014066530453930878,1.0905478261495933,0.11120263591433276,0.5259740259740259,0.07444336574169778,0.011785365130148622,0.0572217837411208,0.12803532008830013,-0.08532061473237942,0.02758742775975741,0.03258033075211337,-0.18385650224215258,0.78125
3543,태림포장(주),11280,201812,198812,,0,0,0,제조업,1,0.1764908619944403,7.390980493740282,0.2660626029654036,0.37662337662337664,0.015489944227810293,0.178357601857214,0.24269928966061563,0.2803532008830022,-0.1807101218865925,-0.25188619227653314,-0.20225180217051983,-0.13901345291479825,0.6249999999999999
3544,태림포장(주),11280,201912,198812,,0,0,0,제조업,1,-0.5012814516508712,-0.4211410360041797,-0.11861614497528826,0.3181818181818181,-0.06009834104382511,0.05804025958988642,0.4928966061562747,0.551876379690949,-0.09009009009009006,-0.18428733098313607,-0.2675155314064857,-0.06278026905829603,0.7343749999999999
3545,태양금속공업(주),4100,201212,197605,,0,0,0,제조업,1,1.090944236156842,0.7700296183053209,0.6853377265238878,-0.2142857142857143,0.017475195820840443,-1.1746054073560337,-0.6286503551696921,-0.9105960264900662,-0.5400105988341284,-0.45602720974805316,-0.17994310992228157,-0.36771300448430505,-0.07812500000000007
3546,태양금속공업(주),4100,201812,197605,,0,0,0,제조업,1,-0.42032325066580223,-0.26647703056588007,-0.0535420098846787,0.7077922077922076,-0.3991993323685727,-0.2995952067368504,-0.3697711128650355,-0.40507726269315675,-0.275039745627981,-0.25397567827700424,-0.19547880127463457,-0.3587443946188342,-0.07812500000000007
3547,태양금속공업(주),4100,201912,197605,,0,0,0,제조업,1,0.037032382779264364,-3.8902527857632725,-2.2545304777594724,0.8506493506493505,-0.7192173147598503,-0.3285538063772756,-0.4846093133385951,-0.6192052980132451,-0.5468998410174881,-0.43831320248478034,-0.17883820600626665,-0.3811659192825113,-0.06250000000000006
3548,태원물산(주),1420,201212,197506,,0,0,0,제조업,1,0.09351375644059509,-0.032254877991751536,-0.371499176276771,-1.012987012987013,-0.14193232219882593,-0.4412128955840322,-0.24625098658247827,-0.3863134657836645,-0.9422363540010601,-0.8441512913609562,-0.13919092447229672,0.09865470852017928,-0.15625000000000014
3549,태원물산(주),1420,201812,197506,,0,0,0,제조업,1,-0.8137114178139238,-0.8839996923957981,-0.6276771004942339,-1.4025974025974026,-0.2590328897813399,-0.25385010679456077,-0.40252565114443567,-0.5551876379690949,-0.9777424483306837,-0.953377815324261,-0.001141160242001636,0.273542600896861,-0.48437500000000006
3550,태원물산(주),1420,201912,197506,,0,0,0,제조업,1,-0.2076979903551631,0.6158621606304491,-0.6219110378912684,-1.5584415584415583,-0.24062206363923824,-0.21651819971214817,0.29992107340173635,-0.018763796909492265,-0.9570747217806044,-0.9166132372998658,0.1005144834408565,0.5560538116591929,-0.40625000000000017
3551,태평양물산(주),7980,201212,199412,,0,0,0,제조업,1,1.1237232121153695,-0.5209093915834214,-0.0733113673805601,0.8311688311688311,-0.7982220332684402,-1.248612354694547,-1.2557221783741122,-1.902869757174393,-0.23158452570217283,0.013892048602524763,0.0755891884338348,-0.3094170403587445,-0.09375000000000008
3552,태평양물산(주),7980,201812,199412,,0,0,0,제조업,1,0.06628511557545216,0.48021610188367164,1.2215815485996704,0.8376623376623377,-0.13551643371212577,-0.16659848471614416,-0.30978689818468824,-0.41501103752759383,0.16322204557498668,0.2246183269732388,0.28577575656061527,0.026905829596412585,0.6562499999999999
3553,태평양물산(주),7980,201912,199412,,0,0,0,제조업,1,-0.20804523474471126,0.429366517133445,1.484349258649094,1.1298701298701297,-0.12243216733707343,-0.40192316950102747,-0.457379636937648,-0.5849889624724063,0.32697403285638577,0.037590813292323846,0.46160740925329835,-0.017937219730941725,0.5468749999999998
3554,테고사이언스(주),191420,201812,201411,,0,0,0,제조업,1,-0.6672519887189622,-0.6087845205881819,-0.4662273476112026,-2.1818181818181817,-0.47153036770652595,-0.26215314932713724,4.147987371744278,1.399558498896247,0.8940116587175413,-0.4071957824092869,0.6390877901063075,-0.5067264573991033,-1.234375
3555,테고사이언스(주),191420,201912,201411,,0,0,0,제조업,1,-1.1706286266184975,-0.6337405327488912,-0.5790774299835254,-2.1818181818181817,-0.21608661927134812,-0.31159515514776065,1.8460931333859512,0.1423841059602649,2.2496025437201914,0.0711744011219782,0.6371383080725808,2.4887892376681617,-1.234375
3556,테라사이언스(주),73640,201212,200401,,0,0,0,제조업,1,-0.8822327129208604,-0.5127640501291141,-0.07990115321252057,3.7207792207792205,-0.17167977650203828,-0.3366635351866907,-0.4960536700868192,-0.6754966887417219,0.43667196608373077,0.10085744718819946,0.8224483307602846,-0.8116591928251123,-1.1718750000000002
3557,텔코웨어(주),78000,201212,200407,,0,0,0,정보통신업,0,0.472335442750747,0.8494696297483314,0.03624382207578249,-2.025974025974026,0.2401445134458149,0.05822973408907757,1.3003157063930544,1.3565121412803531,0.8410174880763118,0.06562304203966839,-0.20292830225350444,0.11659192825112101,-0.7187500000000001
3558,텔코웨어(주),78000,201812,200407,,0,0,0,정보통신업,0,-0.11545780000044512,0.23471011018245477,-0.18451400329489293,-2.1818181818181817,0.20618733987845722,0.1164161436447802,1.883583267561168,1.7527593818984546,1.5861155272919978,0.13201528535502738,-0.02677155860928567,0.36771300448430494,-1.0781250000000002
3559,텔코웨어(주),78000,201912,200407,,0,0,0,정보통신업,0,-0.24843401259703388,-0.44984701135891636,-0.3896210873146623,-1.5064935064935063,0.04343435917059757,-0.3457670727721072,0.44711917916337807,0.3962472406181014,1.3169051404345522,0.011280595330066095,-0.007576415241982746,0.1300448430493274,-1.0625000000000002
