,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,종업원수증가율,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
117,(주)경동나비엔,9450,201512,199308,,0,0,0,제조업,1,0.105913485,4.46,6.03,12.23,0.45,95.78,3.79,26.79,1.5
118,(주)경동나비엔,9450,201612,199308,,0,0,0,제조업,1,6.88172339,14.3,11.02,20.61,0.24,91.88,12.22,33.01,1.69
119,(주)경동나비엔,9450,201712,199308,,0,0,0,제조업,1,17.20574729,7.03,10.23,19.29,0.17,94.71,8.08,29.39,1.7
120,(주)경동나비엔,9450,201812,199308,,0,0,0,제조업,1,15.86242814,10.05,7.51,15.21,0.43,95.33,0.5,28.21,1.44
121,(주)경동나비엔,9450,201912,199308,,0,0,0,제조업,1,4.491554633,8.76,7.51,15.43,0.46,93.92,5.27,32.03,1.4
122,(주)경동나비엔,9450,202012,199308,,0,0,0,제조업,1,20.47863012,17.99,9.98,20.67,0.39,94.17,9.27,31.41,1.41
123,(주)경동도시가스,267290,201812,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,9.5721968,0.0,5.73,13.88,-0.14,97.25,9.0,13.55,2.1
124,(주)경동도시가스,267290,201912,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-3.632435028,0.36,3.67,8.5,-0.17,97.76,10.31,12.78,1.85
125,(주)경동도시가스,267290,202012,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-6.712179241,0.0,2.5,5.21,-0.11,97.73,2.45,12.82,1.67
126,(주)경방,50,201112,195603,,0,0,0,도매 및 소매업,1,-5.543875393,10.63,1.66,3.51,5.43,100.42,-0.15,6.29,0.84
127,(주)경방,50,201212,195603,,0,0,0,도매 및 소매업,1,-1.27812549,-2.36,0.54,1.16,5.93,102.99,0.12,6.05,0.8
128,(주)경방,50,201312,195603,,0,0,0,도매 및 소매업,1,-2.850161043,16.75,2.74,5.73,3.97,94.61,2.66,8.41,1.32
129,(주)경방,50,201412,195603,,0,0,0,도매 및 소매업,1,0.374115468,0.44,2.36,4.77,3.74,95.76,2.88,8.07,0.88
130,(주)경방,50,201512,195603,,0,0,0,도매 및 소매업,1,1.29062828,-9.43,2.97,5.95,2.75,93.58,2.42,8.88,0.89
131,(주)경방,50,201612,195603,,0,0,0,도매 및 소매업,1,-1.268906599,-6.67,3.32,6.47,2.0,91.56,4.14,9.66,1.36
132,(주)경방,50,201712,195603,,0,0,0,도매 및 소매업,1,-2.140601305,-12.37,3.28,6.14,1.78,90.38,4.94,9.88,1.08
133,(주)경방,50,201812,195603,,0,0,0,도매 및 소매업,1,2.178154161,-8.15,3.18,5.82,2.26,92.39,2.69,7.53,1.01
134,(주)경방,50,201912,195603,,0,0,0,도매 및 소매업,1,5.296514762,-43.94,2.4,4.42,2.52,85.63,2.88,9.28,0.93
135,(주)경방,50,202012,195603,,0,0,0,도매 및 소매업,1,-7.721394842,-47.88,1.66,2.95,1.75,93.22,3.97,7.56,0.77
136,(주)경보제약,214390,201512,201506,,0,0,0,제조업,1,16.33824365,0.0,14.1,26.82,0.49,85.9,5.19,32.91,1.01
137,(주)경보제약,214390,201612,201506,,0,0,0,제조업,1,4.218930942,4.52,7.81,12.37,0.5,91.8,7.26,30.44,1.08
138,(주)경보제약,214390,201712,201506,,0,0,0,제조업,1,0.556317544,-1.44,12.03,18.15,0.51,87.62,12.48,34.32,1.11
139,(주)경보제약,214390,201812,201506,,0,0,0,제조업,1,8.177694708,9.76,8.1,11.89,0.44,91.35,5.57,31.09,1.09
140,(주)경보제약,214390,201912,201506,,0,0,0,제조업,1,7.30689031,9.78,2.7,4.15,0.67,96.36,4.74,26.68,0.94
141,(주)경보제약,214390,202012,201506,,0,0,0,제조업,1,6.485008108,1.82,3.53,5.68,0.57,93.66,8.78,28.77,0.98
142,(주)경인양행,12610,201112,199510,,0,0,0,제조업,1,5.67178615,29.9,1.98,3.61,1.4,97.9,0.15,17.5,0.85
143,(주)경인양행,12610,201212,199510,,0,0,0,제조업,1,-10.05775418,-2.91,1.2,2.07,1.24,98.53,5.33,17.58,0.85
144,(주)경인양행,12610,201312,199510,,0,0,0,제조업,1,10.25981675,17.44,3.69,6.11,0.65,95.05,3.45,19.13,0.99
145,(주)경인양행,12610,201412,199510,,0,0,0,제조업,1,-1.232287467,2.09,4.47,7.26,0.6,95.45,3.1,23.34,1.04
146,(주)경인양행,12610,201512,199510,,0,0,0,제조업,1,4.359938075,6.59,2.1,3.36,0.57,97.88,3.64,20.7,0.98
147,(주)경인양행,12610,201612,199510,,0,0,0,제조업,1,5.390803565,3.62,3.15,5.17,0.57,96.37,3.55,21.96,0.92
148,(주)경인양행,12610,201712,199510,,0,0,0,제조업,1,3.965441152,6.38,2.1,3.51,0.75,97.98,3.4,21.54,0.95
149,(주)경인양행,12610,201812,199510,,0,0,0,제조업,1,15.37781616,19.73,5.11,9.06,0.97,94.78,0.87,23.92,0.93
150,(주)경인양행,12610,201912,199510,,0,0,0,제조업,1,14.30627167,-0.32,5.32,10.21,1.36,94.18,0.92,23.51,0.86
151,(주)경인양행,12610,202012,199510,,0,0,0,제조업,1,6.994805508,-0.16,0.69,1.45,1.37,100.05,6.07,17.17,0.71
152,(주)고려시멘트,198440,201812,201408,,0,0,0,제조업,1,10.05786164,1.82,3.15,4.68,-0.49,92.92,1.92,14.94,1.21
153,(주)고려시멘트,198440,201912,201408,,0,0,0,제조업,1,-0.393031557,-13.39,-0.36,-0.53,-0.22,95.14,1.81,12.76,0.92
154,(주)고려시멘트,198440,202012,201408,,0,0,0,제조업,1,-9.208480525,-2.06,3.53,4.74,-0.06,91.67,4.69,15.88,1.14
155,(주)고영테크놀러지,98460,201112,200806,,0,0,0,제조업,1,26.06068668,22.73,23.87,30.17,-0.49,78.57,13.45,33.3,1.21
156,(주)고영테크놀러지,98460,201212,200806,,0,0,0,제조업,1,18.78689543,24.69,22.53,28.03,-0.55,82.4,12.24,31.57,1.26
157,(주)고영테크놀러지,98460,201312,200806,,0,0,0,제조업,1,17.02885088,10.89,14.96,18.46,-0.54,86.02,10.2,25.81,1.09
158,(주)고영테크놀러지,98460,201412,200806,,0,0,0,제조업,1,17.17120326,26.79,21.44,26.29,-0.45,81.2,13.72,32.95,1.18
159,(주)고영테크놀러지,98460,201512,200806,,0,0,0,제조업,1,12.09222818,8.1,15.6,18.96,-0.37,83.66,13.27,29.3,1.07
160,(주)고영테크놀러지,98460,201612,200806,,0,0,0,제조업,1,22.827745,2.61,18.75,22.99,-0.25,79.9,11.74,31.86,1.06
161,(주)고영테크놀러지,98460,201712,200806,,0,0,0,제조업,1,5.169167615,7.94,21.86,27.46,-0.17,84.05,11.98,32.01,1.08
162,(주)고영테크놀러지,98460,201812,200806,,0,0,0,제조업,1,35.98898305,20.0,18.99,23.75,-0.47,78.7,7.47,30.94,1.03
163,(주)고영테크놀러지,98460,201912,200806,,0,0,0,제조업,1,9.468143553,15.93,11.4,14.2,-0.57,83.6,8.34,26.43,0.83
164,(주)고영테크놀러지,98460,202012,200806,,0,0,0,제조업,1,-0.951522762,-8.25,5.21,6.47,-0.51,93.97,11.07,17.3,0.73
165,(주)골드앤에스,35290,201112,199912,,0,0,0,정보통신업,0,3.678874897,-9.04,2.82,5.88,1.03,98.27,18.86,33.36,1.18
166,(주)골드앤에스,35290,201212,199912,,0,0,0,정보통신업,0,11.29773444,-2.48,-4.73,-9.72,1.68,115.16,10.69,14.7,0.95
